"Supplied Name","guid","scientificName","family","kingdom","vernacular name","Grouping"
"Dinotoperla walkeri","urn:lsid:biodiversity.org.au:afd.taxon:c0dddb66-74bb-4cb5-a4ad-8ab364598f62","Dinotoperla walkeri","Gripopterygidae",,"Stonefly","Aquatic Fauna"
"Gariwerdeus ingletonensis","urn:lsid:biodiversity.org.au:afd.taxon:671e41b8-6d78-4f75-a009-391ef15e468f","Gariwerdeus ingletonensis","Phreatoicidae",,"Phreatoicid Isopod","Aquatic Fauna"
"Victaphanta compacta","urn:lsid:biodiversity.org.au:afd.taxon:fe93aad8-6adc-4347-a830-c24e93853825","Victaphanta compacta","Rhytididae",,,"Aquatic Fauna"
"Westriplectes angelae","urn:lsid:biodiversity.org.au:afd.taxon:7bdee217-d82b-4d6f-9a51-5987538d6669","Westriplectes angelae","Leptoceridae",,"Caddisfly","Aquatic Fauna"
"Taskiria otwayensis","urn:lsid:biodiversity.org.au:afd.taxon:4d0551c3-a779-4bf3-8439-09e861f76560","Taskiria otwayensis","Kokiriidae",,"Caddisfly","Aquatic Fauna"
"Engaeus rostrogaleatus","urn:lsid:biodiversity.org.au:afd.taxon:657f72d4-1e23-4d42-b090-a932354b5139","Engaeus rostrogaleatus","Parastacidae",,"Strzelecki Burrowing Crayfish","Aquatic Fauna"
"Phreatoicopsis raffae","urn:lsid:biodiversity.org.au:afd.taxon:6eed69be-25bb-409e-bf9e-a4914290ffd0","Phreatoicopsis raffae","Amphisopodidae",,"Phreatoicid Isopod","Aquatic Fauna"
"Euastacus crassus","urn:lsid:biodiversity.org.au:afd.taxon:799cb157-4b52-48d0-a579-e826aec80a74","Euastacus crassus","Parastacidae",,"Alpine Spiny Crayfish","Aquatic Fauna"
"Euastacus claytoni","urn:lsid:biodiversity.org.au:afd.taxon:051887b3-37f2-45bd-9cba-89c4acf63a40","Euastacus claytoni","Parastacidae",,"Clayton’s Spiny Crayfish","Aquatic Fauna"
"Morelia spilota metcalfei","urn:lsid:biodiversity.org.au:afd.taxon:27e4a168-c8e2-4e4e-94bd-08f8b75d7133","Morelia spilota metcalfei","Pythonidae",,"Carpet Python","Terrestrial Fauna (nesting and/or breeding records only)"
"Riekoperla isosceles","urn:lsid:biodiversity.org.au:afd.taxon:a0b2f2fb-fb23-45f2-aff3-70e3eaa380e6","Riekoperla isosceles","Gripopterygidae",,"Stonefly","Aquatic Fauna"
"Triaenodes resima","urn:lsid:biodiversity.org.au:afd.taxon:04b89a4d-abb3-48e9-8bcb-385912017e92","Triaenodes resima","Leptoceridae",,"Caddisfly","Aquatic Fauna"
"Riekoperla intermedia","urn:lsid:biodiversity.org.au:afd.taxon:f66ad4a4-53ac-45c9-ae43-4125073a726b","Riekoperla intermedia","Gripopterygidae",,"Stonefly","Aquatic Fauna"
"Austropyrgus grampianensis","urn:lsid:biodiversity.org.au:afd.taxon:1757c727-d351-47d4-9532-492cec28f4de","Austropyrgus grampianensis","Hydrobiidae",,"Dairy Creek Austropyrgus Snail","Aquatic Fauna"
"Tamasia furcilla","urn:lsid:biodiversity.org.au:afd.taxon:c0eac595-0f8d-4e5d-a2cd-298769312956","Latarima furcilla","Calocidae",,"Caddisfly","Aquatic Fauna"
"Oecetis quadrula","urn:lsid:biodiversity.org.au:afd.taxon:5029065e-1df5-479c-bc6b-96e435eac1a0","Oecetis quadrula","Leptoceridae",,"Caddisfly","Aquatic Fauna"
"Notoperata sparsa","urn:lsid:biodiversity.org.au:afd.taxon:ce99cff7-79ca-4edc-9904-f8ceb04bf591","Notoperata sparsa","Leptoceridae",,"Caddisfly","Aquatic Fauna"
"Engaeus phyllocercus","urn:lsid:biodiversity.org.au:afd.taxon:f0e8a289-5854-48fe-881c-c92f63d45427","Engaeus phyllocercus","Parastacidae",,"Narracan Burrowing Crayfish","Aquatic Fauna"
"Lophocroa leadbeateri","ALA_Lophocroa_leadbeateri","Lophocroa leadbeateri",,,,"Terrestrial Fauna (nesting and/or breeding records only)"
"Gariwerdeus beehivensis","urn:lsid:biodiversity.org.au:afd.taxon:94f13bf7-e51c-4ca8-8917-f13ab02925d8","Gariwerdeus beehivensis","Phreatoicidae",,"Phreatoicid Isopod","Aquatic Fauna"
"Caladenia sp. aff. fragrantissima (Central Victoria) ","ALA_Caladenia_sp_aff_fragrantissima_Central_Victoria","Caladenia sp. aff. fragrantissima (Central Victoria)",,,"Bendigo Spider-orchid","Flora"
"Caladenia sp. aff. venusta (Kilsyth South)","ALA_Caladenia_sp_aff_venusta_Kilsyth_South","Caladenia sp. aff. venusta (Kilsyth South)",,,"Kilsyth South Spider-orchid","Flora"
"Polytelis swainsonii","urn:lsid:biodiversity.org.au:afd.taxon:51dc6bc2-9165-4fc3-a374-1010ac3037d0","Polytelis swainsonii","Psittacidae",,,"Terrestrial Fauna (nesting and/or breeding records only)"
