"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status code","status"
"Banksia brownii","http://id.biodiversity.org.au/node/apni/7811307","Banksia brownii","Proteaceae",,,"CR","Critically endangered"
"Banksia montana","http://id.biodiversity.org.au/node/apni/2900376","Banksia montana","Proteaceae",,,"CR","Critically endangered"
"Stylidium marradongense","http://id.biodiversity.org.au/node/apni/2909688","Stylidium marradongense","Stylidiaceae",,,"P3","Priority 3: Poorly-known species"
"Lepidosperma sp. Meckering (R. Davis WW 27-32)","http://id.biodiversity.org.au/name/apni/245436","Lepidosperma sp. Meckering (R.Davis WW 27-32)",,,,"P3","Priority 3: Poorly-known species"
"Rhynchosia rostrata","http://id.biodiversity.org.au/node/apni/2918541","Rhynchosia rostrata","Fabaceae",,,"P1","Priority 1: Poorly-known species"
"Grevillea sp. Stirling Range (D.J. McGillivray 3488 & A.S. George)","ALA_Grevillea_sp_Stirling_Range_D_J_McGillivray_3488_A_S_George","Grevillea sp. Stirling Range (D.J. McGillivray 3488 & A.S. George)",,,,"P2","Priority 2: Poorly-known species"
"Grevillea corrugata","http://id.biodiversity.org.au/node/apni/2887155","Grevillea corrugata","Proteaceae",,,"VU","Vulnerable"
"Schizaea rupestris","http://id.biodiversity.org.au/node/apni/2905293","Schizaea rupestris","Schizaeaceae",,,"P2","Priority 2: Poorly-known species"
"Leucopogon sp. Lake Magenta (K.R. Newbey 3387)","http://id.biodiversity.org.au/node/apni/2902678","Leucopogon sp. Lake Magenta (K.R. Newbey 3387)","Ericaceae",,,"P1","Priority 1: Poorly-known species"
"Petrophile globifera","http://id.biodiversity.org.au/node/apni/2889239","Petrophile globifera","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Eucalyptus pruiniramis","http://id.biodiversity.org.au/node/apni/2904173","Eucalyptus pruiniramis","Myrtaceae",,,"EN","Endangered"
"Hibiscus minutibracteolus","http://id.biodiversity.org.au/node/apni/2904623","Hibiscus minutibracteolus","Malvaceae",,,"P1","Priority 1: Poorly-known species"
"Dendrophthoe odontocalyx","http://id.biodiversity.org.au/node/apni/2912640","Dendrophthoe odontocalyx","Loranthaceae",,,"P3","Priority 3: Poorly-known species"
"Acacia congesta subsp. wonganensis","http://id.biodiversity.org.au/node/apni/2888346","Acacia congesta subsp. wonganensis","Fabaceae",,,"P2","Priority 2: Poorly-known species"
"Acacia synantha","http://id.biodiversity.org.au/node/apni/2893011","Acacia synantha","Fabaceae",,,"P2","Priority 2: Poorly-known species"
"Boronia marcoana","http://id.biodiversity.org.au/name/apni/4923694","Boronia marcoana",,,,"P1","Priority 1: Poorly-known species"
"Ptilotus alexandri","http://id.biodiversity.org.au/node/apni/2919556","Ptilotus alexandri","Amaranthaceae",,,"P2","Priority 2: Poorly-known species"
"Gonocarpus pusillus","http://id.biodiversity.org.au/node/apni/2887439","Gonocarpus pusillus","Haloragaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Melaleuca micromera","http://id.biodiversity.org.au/node/apni/2890735","Melaleuca micromera","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Grevillea leucoclada","http://id.biodiversity.org.au/node/apni/2899819","Grevillea leucoclada","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Goodenia perryi","http://id.biodiversity.org.au/node/apni/2914794","Goodenia perryi","Goodeniaceae",,,"P3","Priority 3: Poorly-known species"
"Andersonia annelsii","http://id.biodiversity.org.au/node/apni/2902466","Andersonia annelsii","Ericaceae",,,"CR","Critically endangered"
"Persoonia papillosa","http://id.biodiversity.org.au/node/apni/7830263","Persoonia papillosa","Proteaceae",,,"P2","Priority 2: Poorly-known species"
"Fabronia hampeana","http://id.biodiversity.org.au/node/ausmoss/10077789","Fabronia hampeana","Fabroniaceae",,,"P2","Priority 2: Poorly-known species"
"Viscum ovalifolium","http://id.biodiversity.org.au/node/apni/2917445","Viscum ovalifolium","Santalaceae",,,"P1","Priority 1: Poorly-known species"
"Rhodanthe sp. Overlander (P.S. Short 2096)","http://id.biodiversity.org.au/node/apni/2914452","Rhodanthe sp. Overlander (P.S.Short 2096)","Asteraceae",,,"P1","Priority 1: Poorly-known species"
"Cryptandra craigiae","http://id.biodiversity.org.au/node/apni/2894468","Cryptandra craigiae","Rhamnaceae",,,"P1","Priority 1: Poorly-known species"
"Acacia mutabilis subsp. stipulifera","http://id.biodiversity.org.au/node/apni/2894340","Acacia mutabilis subsp. stipulifera","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Olax spartea","http://id.biodiversity.org.au/node/apni/2892581","Olax spartea","Olacaceae",,,"P2","Priority 2: Poorly-known species"
"Antichiropus sp. DIP007",,,,,"Bond's Antichiropus millipede","P1","Priority 1: Poorly-known species"
"Stylidium lepidum","http://id.biodiversity.org.au/node/apni/2917395","Stylidium lepidum","Stylidiaceae",,,"P3","Priority 3: Poorly-known species"
"Paradraculoides anachoretus","urn:lsid:biodiversity.org.au:afd.taxon:eae339ad-c990-45d9-b5bd-ef0f49f3e375","Paradraculoides anachoretus","Hubbardiidae",,"Mesa A paradraculoides","VU","Vulnerable"
"Utricularia arnhemica","http://id.biodiversity.org.au/node/apni/2886088","Utricularia arnhemica","Lentibulariaceae",,,"P1","Priority 1: Poorly-known species"
"Eremophila viscimarginata","http://id.biodiversity.org.au/node/apni/2917319","Eremophila viscimarginata","Scrophulariaceae",,,"P1","Priority 1: Poorly-known species"
"Indigofera eriophylla","http://id.biodiversity.org.au/name/apni/4563219","Indigofera eriophylla",,,,"P1","Priority 1: Poorly-known species"
"Actinoschoenus glabrispiculus","http://id.biodiversity.org.au/name/apni/4941357","Actinoschoenus glabrispiculus",,,,"P3","Priority 3: Poorly-known species"
"Pilostyles collina","http://id.biodiversity.org.au/node/apni/2887432","Pilostyles collina","Apodanthaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Grevillea elongata","http://id.biodiversity.org.au/node/apni/2895952","Grevillea elongata","Proteaceae",,,"EN","Endangered"
"Thalassarche chlororhynchos","NZOR-4-100382","Thalassarche chlororhynchos","Diomedeidae",,"Atlantic yellow-nosed albatross","VU & IA","Vulnerable and Migratory birds protected under international agreement"
"Hibbertia priceana","http://id.biodiversity.org.au/node/apni/2920315","Hibbertia priceana","Dilleniaceae",,,"EN","Endangered"
"Acacia concolorans","http://id.biodiversity.org.au/node/apni/2897638","Acacia concolorans","Fabaceae",,,"P2","Priority 2: Poorly-known species"
"Gastrolobium formosum","http://id.biodiversity.org.au/node/apni/2919429","Gastrolobium formosum","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Brachyloma mogin","http://id.biodiversity.org.au/node/apni/2897765","Brachyloma mogin","Ericaceae",,,"P3","Priority 3: Poorly-known species"
"Cryptandra dielsii","http://id.biodiversity.org.au/node/apni/2905491","Cryptandra dielsii","Rhamnaceae",,,"P3","Priority 3: Poorly-known species"
"Nyctophilus major tor","urn:lsid:biodiversity.org.au:afd.taxon:6656b803-67b6-4447-b483-56f6a496c23e","Nyctophilus major tor","Vespertilionidae",,"Central long-eared Bat","P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Varanus sparnus","urn:lsid:biodiversity.org.au:afd.taxon:e16df4da-341b-4130-88ba-c0f9f4d29bec","Varanus sparnus","Varanidae",,"Dampier Peninsula goanna, Dampierland goanna","P1","Priority 1: Poorly-known species"
"Eucalyptus marginata x pachyloma","ALA_Eucalyptus_marginata_x_pachyloma","Eucalyptus marginata x pachyloma",,,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Comesperma sp. A Kimberley Flora (D.W. Rust 8)","http://id.biodiversity.org.au/node/apni/2920307","Comesperma sp. A Kimberley Flora (D.W.Rust 8)","Polygalaceae",,,"P1","Priority 1: Poorly-known species"
"Conostylis rogeri","http://id.biodiversity.org.au/node/apni/6291840","Conostylis rogeri","Haemodoraceae",,,"VU","Vulnerable"
"Eucalyptus x mundijongensis","http://id.biodiversity.org.au/instance/apni/553627","Eucalyptus x mundijongensis","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Hypocalymma sp. Lake King (R.W. Purdie 3936) PN","http://id.biodiversity.org.au/node/apni/2904391","Hypocalymma sp. Lake King (R.W.Purdie 3936)","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Elapognathus minor","urn:lsid:biodiversity.org.au:afd.taxon:1154e8ea-4ad4-4313-802b-0101ee604265","Elapognathus minor","Elapidae",,"short-nosed snake","P2","Priority 2: Poorly-known species"
"Lechenaultia mimica","http://id.biodiversity.org.au/name/apni/4267489","Lechenaultia mimica",,,,"P1","Priority 1: Poorly-known species"
"Rostratula australis (Rostratula benghalensis australis)","urn:lsid:biodiversity.org.au:afd.taxon:008f9f9d-9a91-4c34-9a2b-fd82c5a43e13","Rostratula australis","Rostratulidae",,"Australian painted snipe","EN","Endangered"
"Cochlospermum macnamarae","http://id.biodiversity.org.au/node/apni/7093223","Cochlospermum macnamarae","Bixaceae",,,"P1","Priority 1: Poorly-known species"
"Aristida dominii","http://id.biodiversity.org.au/node/apni/2893369","Aristida dominii","Poaceae",,,"P1","Priority 1: Poorly-known species"
"Grevillea infundibularis","http://id.biodiversity.org.au/node/apni/2917495","Grevillea infundibularis","Proteaceae",,,"VU","Vulnerable"
"Stachystemon sp. Keysbrook (R. Archer 17/11/99)","http://id.biodiversity.org.au/node/apni/2912478","Stachystemon sp. Keysbrook (R.Archer 17/11/99)","Picrodendraceae",,,"P1","Priority 1: Poorly-known species"
"Atriplex lindleyi subsp. conduplicata","http://id.biodiversity.org.au/node/apni/2899439","Atriplex lindleyi subsp. conduplicata","Chenopodiaceae",,,"P3","Priority 3: Poorly-known species"
"Andersonia carinata","http://id.biodiversity.org.au/node/apni/2904067","Andersonia carinata","Ericaceae",,,"P2","Priority 2: Poorly-known species"
"Leucopogon multiflorus","http://id.biodiversity.org.au/node/apni/2905603","Leucopogon multiflorus","Ericaceae",,,"P2","Priority 2: Poorly-known species"
"Haemodorum condensatum","http://id.biodiversity.org.au/name/apni/4925576","Haemodorum condensatum",,,,"P2","Priority 2: Poorly-known species"
"Didymoplexis pallens","http://id.biodiversity.org.au/name/apni/104090","Didymoplexis pallens",,,,"P1","Priority 1: Poorly-known species"
"Ordtrachia septentrionalis","urn:lsid:biodiversity.org.au:afd.taxon:a607904f-44c3-43c8-92d2-7d23f9c908b7","Ordtrachia septentrionalis","Camaenidae",,"Rosewood keeled snail","CR","Critically endangered"
"Acacia smeringa","http://id.biodiversity.org.au/node/apni/2907185","Acacia smeringa","Fabaceae",,,"P1","Priority 1: Poorly-known species"
"Stylidium acuminatum subsp. acuminatum","http://id.biodiversity.org.au/node/apni/2891770","Stylidium acuminatum subsp. acuminatum","Stylidiaceae",,,"P2","Priority 2: Poorly-known species"
"Eremophila forrestii subsp. viridis","http://id.biodiversity.org.au/node/apni/2894821","Eremophila forrestii subsp. viridis","Scrophulariaceae",,,"P3","Priority 3: Poorly-known species"
"Carpobrotus sp. Thevenard Island (M. White 050)","http://id.biodiversity.org.au/node/apni/2917493","Carpobrotus sp. Thevenard Island (M.White 050)","Aizoaceae",,,"P3","Priority 3: Poorly-known species"
"Eremophila complanata","http://id.biodiversity.org.au/node/apni/2919946","Eremophila complanata","Scrophulariaceae",,,"P2","Priority 2: Poorly-known species"
"Calidris canutus piersmai","ALA_Calidris_canutus_piersmai","Calidris canutus piersmai",,,"red knot (New Siberian Islands)","VU (& IA at sp. level)","Vulnerable, Migratory birds protected under international agreement at species level"
"Rhynchospora rubra","http://id.biodiversity.org.au/node/apni/2896698","Rhynchospora rubra","Cyperaceae",,,"P3","Priority 3: Poorly-known species"
"Verticordia plumosa var. ananeotes","http://id.biodiversity.org.au/node/apni/2894856","Verticordia plumosa var. ananeotes","Myrtaceae",,,"CR","Critically endangered"
"Eragrostis crateriformis","http://id.biodiversity.org.au/node/apni/2904926","Eragrostis crateriformis","Poaceae",,,"P3","Priority 3: Poorly-known species"
"Thryptomene salina","http://id.biodiversity.org.au/node/apni/2895763","Thryptomene salina","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Scleria psilorrhiza","http://id.biodiversity.org.au/node/apni/2914879","Scleria psilorrhiza","Cyperaceae",,,"P1","Priority 1: Poorly-known species"
"Micromyrtus chrysodema","http://id.biodiversity.org.au/node/apni/2899368","Micromyrtus chrysodema","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Antichiropus sp. DIP006",,,,,"Area C Antichiropus millipede","P1","Priority 1: Poorly-known species"
"Welesina kornickeri","urn:lsid:biodiversity.org.au:afd.taxon:1df90d1b-cc72-4280-bc0e-a02033cb0306","Welesina kornickeri","Thaumatocyprididae",,"an ostracod","CR","Critically endangered"
"Actinotus rhomboideus","http://id.biodiversity.org.au/node/apni/2902484","Actinotus rhomboideus","Apiaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Grevillea flexuosa","http://id.biodiversity.org.au/node/apni/2915725","Grevillea flexuosa","Proteaceae",,,"VU","Vulnerable"
"Acacia camptocarpa","http://id.biodiversity.org.au/node/apni/2904832","Acacia camptocarpa","Fabaceae",,,"P1","Priority 1: Poorly-known species"
"Physopsis chrysotricha","http://id.biodiversity.org.au/node/apni/2891844","Physopsis chrysotricha","Lamiaceae",,,"P2","Priority 2: Poorly-known species"
"Hakea scoparia subsp. trycherica","http://id.biodiversity.org.au/node/apni/2901773","Hakea scoparia subsp. trycherica","Proteaceae",,,"P2","Priority 2: Poorly-known species"
"Alexgeorgea ganopoda","http://id.biodiversity.org.au/node/apni/2914266","Alexgeorgea ganopoda","Restionaceae",,,"P3","Priority 3: Poorly-known species"
"Philotheca coateana","http://id.biodiversity.org.au/node/apni/2890782","Philotheca coateana","Rutaceae",,,"P3","Priority 3: Poorly-known species"
"Acacia sp. East Fortescue (J. Bull & D. Roberts ONS A 27.01)","ALA_Acacia_sp_East_Fortescue_J_Bull_D_Roberts_ONS_A_27_01","Acacia sp. East Fortescue (J. Bull & D. Roberts ONS A 27.01)",,,,"P1","Priority 1: Poorly-known species"
"Petrophile filifolia subsp. laxa","http://id.biodiversity.org.au/node/apni/2915938","Petrophile filifolia subsp. laxa","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Darwinia leiostyla subsp. Upland (W.Greuter 23111)","http://id.biodiversity.org.au/name/apni/247083","Darwinia leiostyla subsp. Upland (W.Greuter 23111)",,,,"P2","Priority 2: Poorly-known species"
"Calytrix ecalycata subsp. ecalycata","http://id.biodiversity.org.au/node/apni/2896815","Calytrix ecalycata subsp. ecalycata","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Hydrocotyle sp. Warriedar (P.G. Wilson 12267)","http://id.biodiversity.org.au/node/apni/2892670","Hydrocotyle sp. Warriedar (P.G.Wilson 12267)","Araliaceae",,,"P1","Priority 1: Poorly-known species"
"Synaphea tamminensis","http://id.biodiversity.org.au/node/apni/2913107","Synaphea tamminensis","Proteaceae",,,"P2","Priority 2: Poorly-known species"
"Isopogon buxifolius var. obovatus","http://id.biodiversity.org.au/node/apni/2915522","Isopogon buxifolius var. obovatus","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Thryptomene sp. Leinster (B.J. Lepschi & L.A. Craven 4362)","http://id.biodiversity.org.au/node/apni/2904210","Thryptomene sp. Leinster (B.J.Lepschi & L.A.Craven 4362)","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Malleostemon sp. Officer Basin (D. Pearson 350)","http://id.biodiversity.org.au/node/apni/2914956","Malleostemon sp. Officer Basin (D.Pearson 350)","Myrtaceae",,,"P2","Priority 2: Poorly-known species"
"Pletholax gracilis edelensis","urn:lsid:biodiversity.org.au:afd.taxon:07a63441-82ba-42c8-ab9a-06824ad3e075","Pletholax gracilis edelensis","Pygopodidae",,"keeled legless lizard","P3","Priority 3: Poorly-known species"
"Lepidosperma sp. Koolanooka (K.R. Newbey 9336)","http://id.biodiversity.org.au/node/apni/2914481","Lepidosperma sp. Koolanooka (K.R.Newbey 9336)","Cyperaceae",,,"P1","Priority 1: Poorly-known species"
"Hibbertia charlesii","http://id.biodiversity.org.au/node/apni/2889174","Hibbertia charlesii","Dilleniaceae",,,"P2","Priority 2: Poorly-known species"
"Grevillea tenuiloba","http://id.biodiversity.org.au/node/apni/2901546","Grevillea tenuiloba","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Borya subulata","http://id.biodiversity.org.au/node/apni/2910975","Borya subulata","Boryaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Boronia ericifolia","http://id.biodiversity.org.au/node/apni/2916777","Boronia ericifolia","Rutaceae",,,"P2","Priority 2: Poorly-known species"
"Schoenia filifolia subsp. subulifolia","http://id.biodiversity.org.au/node/apni/2913280","Schoenia filifolia subsp. subulifolia","Asteraceae",,,"EN","Endangered"
"Isoodon auratus auratus","urn:lsid:biodiversity.org.au:afd.taxon:86b8d25c-23d2-4893-b602-b81c8df4ed44","Isoodon auratus auratus","Peramelidae",,"golden bandicoot (mainland), wintarru","VU","Vulnerable"
"Ctenotus gemmula (Swan Coastal Plain subpop.)","urn:lsid:biodiversity.org.au:afd.taxon:1cc4ea86-fb8d-46d5-be42-8dbed4e0b186","Ctenotus gemmula","Scincidae",,"jewelled south-west Ctenotus (Swan Coastal Plain subpop.)","P3","Priority 3: Poorly-known species"
"Persoonia scabra","http://id.biodiversity.org.au/node/apni/2914063","Persoonia scabra","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Lambertia rariflora subsp. rariflora","http://id.biodiversity.org.au/node/apni/2909062","Lambertia rariflora subsp. rariflora","Proteaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Nymphaea ondinea subsp. petaloidea","http://id.biodiversity.org.au/node/apni/2912976","Nymphaea ondinea subsp. petaloidea","Nymphaeaceae",,,"P1","Priority 1: Poorly-known species"
"Dampiera decurrens","http://id.biodiversity.org.au/node/apni/2888322","Dampiera decurrens","Goodeniaceae",,,"P2","Priority 2: Poorly-known species"
"Darwinia sp. Mt Baring (K.R. Newbey 9775)","http://id.biodiversity.org.au/node/apni/2894344","Darwinia sp. Mt Baring (K.R.Newbey 9775)","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Baeckea grandibracteata subsp. Parker Range (K. Newbey 9270)","ALA_Baeckea_grandibracteata_subsp_Parker_Range_K_Newbey_9270","Baeckea grandibracteata subsp. Parker Range (K. Newbey 9270)",,,,"P3","Priority 3: Poorly-known species"
"Synaphea sp. flat canaliculata (M. Bennett 794)","ALA_Synaphea_sp_flat_canaliculata_M_Bennett_794","Synaphea sp. flat canaliculata (M. Bennett 794)",,,,"P1","Priority 1: Poorly-known species"
"Stylidium tylosum","http://id.biodiversity.org.au/node/apni/2888127","Stylidium tylosum","Stylidiaceae",,,"P2","Priority 2: Poorly-known species"
"Lasiopetalum oppositifolium","http://id.biodiversity.org.au/node/apni/2888623","Lasiopetalum oppositifolium","Malvaceae",,,"P3","Priority 3: Poorly-known species"
"Eucalyptus mimica subsp. mimica","http://id.biodiversity.org.au/node/apni/2890789","Eucalyptus mimica subsp. mimica","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Myriophyllum lapidicola","http://id.biodiversity.org.au/node/apni/2895903","Myriophyllum lapidicola","Haloragaceae",,,"EN","Endangered"
"Eremophila racemosa","http://id.biodiversity.org.au/node/apni/2911677","Eremophila racemosa","Scrophulariaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Loxocarya albipes","http://id.biodiversity.org.au/node/apni/2913550","Loxocarya albipes","Restionaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Thysanotus gageoides","http://id.biodiversity.org.au/node/apni/2908488","Thysanotus gageoides","Asparagaceae",,,"P3","Priority 3: Poorly-known species"
"Stenanthemum bilobum","http://id.biodiversity.org.au/node/apni/2888992","Stenanthemum bilobum","Rhamnaceae",,,"P1","Priority 1: Poorly-known species"
"Triumfetta trisecta","http://id.biodiversity.org.au/node/apni/2907624","Triumfetta trisecta","Malvaceae",,,"P1","Priority 1: Poorly-known species"
"Verticordia harveyi","http://id.biodiversity.org.au/node/apni/2911073","Verticordia harveyi","Myrtaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Dicrastylis subterminalis","http://id.biodiversity.org.au/node/apni/2921025","Dicrastylis subterminalis","Lamiaceae",,,"P1","Priority 1: Poorly-known species"
"Hemigenia microphylla","http://id.biodiversity.org.au/node/apni/2891753","Hemigenia microphylla","Lamiaceae",,,"P3","Priority 3: Poorly-known species"
"Thomasia sp. Arthur River (H.F. & M. Broadbent 1409)","ALA_Thomasia_sp_Arthur_River_H_F_M_Broadbent_1409","Thomasia sp. Arthur River (H.F. & M. Broadbent 1409)",,,,"P1","Priority 1: Poorly-known species"
"Isolepis australiensis","http://id.biodiversity.org.au/node/apni/2890910","Isolepis australiensis","Cyperaceae",,,"P3","Priority 3: Poorly-known species"
"Liagoceradocus subthalassicus","urn:lsid:biodiversity.org.au:afd.taxon:5fa67e5e-f5b9-4548-a376-dfd1467c14d5","Liagoceradocus subthalassicus","Hadziidae",,"Barrow Island liagoceradocus amphipod","VU","Vulnerable"
"Synaphea sp. Woodanilling (G.J. Keighery & N. Gibson 4614)","ALA_Synaphea_sp_Woodanilling_G_J_Keighery_N_Gibson_4614","Synaphea sp. Woodanilling (G.J. Keighery & N. Gibson 4614)",,,,"P2","Priority 2: Poorly-known species"
