"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status code","status"
"Eremophila margarethae subsp. straight sepals (G. Cockerton & B. McLean LCH 31310)","ALA_Eremophila_margarethae_subsp_straight_sepals_G_Cockerton_B_McLean_LCH_31310","Eremophila margarethae subsp. straight sepals (G. Cockerton & B. McLean LCH 31310)",,,,"P1","Priority 1: Poorly-known species"
"Grevillea sulcata","http://id.biodiversity.org.au/node/apni/2903871","Grevillea sulcata","Proteaceae",,,"P1","Priority 1: Poorly-known species"
"Daviesia pseudaphylla","http://id.biodiversity.org.au/node/apni/2917692","Daviesia pseudaphylla","Fabaceae",,,"CR","Critically endangered"
"Bothriembryon whitleyi","urn:lsid:biodiversity.org.au:afd.taxon:fd5d56de-388e-455e-9ac2-4c6f0449235e","Bothriembryon (Bothriembryon) whitleyi","Placostylidae",,"a bothriembryontid land snail","EX","Presumed extinct"
"Psacadonotus seriatus","urn:lsid:biodiversity.org.au:afd.taxon:b3db9864-4842-4d1f-a296-c1b61638fd08","Psacadonotus seriatus","Tettigoniidae",,"a cricket","P1","Priority 1: Poorly-known species"
"Stylidium sp. Three Springs (J.A. Wege & C. Wilkins JAW 600)","http://id.biodiversity.org.au/node/apni/2918027","Stylidium sp. Three Springs (J.A. Wege & C. Wilkins JAW 600)","Stylidiaceae",,,"P2","Priority 2: Poorly-known species"
"Zyzomys pedunculatus","urn:lsid:biodiversity.org.au:afd.taxon:33ab483d-5bec-45a4-857a-f0a1bbd36bfe","Zyzomys pedunculatus","Muridae",,"central rock-rat, antina","CR","Critically endangered"
"Spyridium spadiceum","http://id.biodiversity.org.au/node/apni/2919324","Spyridium spadiceum","Rhamnaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Synaphea bifurcata","http://id.biodiversity.org.au/node/apni/2916554","Synaphea bifurcata","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Grevillea stenomera","http://id.biodiversity.org.au/node/apni/2889989","Grevillea stenomera","Proteaceae",,,"P2","Priority 2: Poorly-known species"
"Verticordia staminosa subsp. staminosa","http://id.biodiversity.org.au/node/apni/2916999","Verticordia staminosa subsp. staminosa","Myrtaceae",,,"CR","Critically endangered"
"Whiteochloa sp. Hann River (Aplin et al. 917)","http://id.biodiversity.org.au/node/apni/2888393","Whiteochloa sp. Hann River (Aplin et al. 917)","Poaceae",,,"P1","Priority 1: Poorly-known species"
"Cyperus haspan subsp. haspan","http://id.biodiversity.org.au/node/apni/2893313","Cyperus haspan subsp. haspan","Cyperaceae",,,"P1","Priority 1: Poorly-known species"
"Abutilon sp. Hamelin (A.M. Ashby 2196)","http://id.biodiversity.org.au/node/apni/2898729","Abutilon sp. Hamelin (A.M.Ashby 2196)","Malvaceae",,,"P2","Priority 2: Poorly-known species"
"Diocirea acutifolia","http://id.biodiversity.org.au/node/apni/2894894","Diocirea acutifolia","Scrophulariaceae",,,"P3","Priority 3: Poorly-known species"
"Stylidium edentatum","http://id.biodiversity.org.au/node/apni/2913712","Stylidium edentatum","Stylidiaceae",,,"P2","Priority 2: Poorly-known species"
"Chamelaucium sp. Cataby (G.J. Keighery 11009)",,,,,,"VU","Vulnerable"
"Tephrosia valleculata","http://id.biodiversity.org.au/node/apni/2902236","Tephrosia valleculata","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Astartea onycis","http://id.biodiversity.org.au/node/apni/7537101","Astartea onycis","Myrtaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Baeckea sp. Limestone (N. Gibson & M.N. Lyons 1425)","http://id.biodiversity.org.au/node/apni/2909211","Baeckea sp. Limestone (N.Gibson & M.N.Lyons 1425)","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Stylidium sp. Moora (J.A. Wege 713)","http://id.biodiversity.org.au/node/apni/2901976","Stylidium sp. Moora (J.A. Wege 713)","Stylidiaceae",,,"P2","Priority 2: Poorly-known species"
"Boronia humifusa","http://id.biodiversity.org.au/node/apni/2905094","Boronia humifusa","Rutaceae",,,"P1","Priority 1: Poorly-known species"
"Scholtzia sp. Z-Bend (Bellairs-Kalflora 912a)","http://id.biodiversity.org.au/node/apni/2906241","Scholtzia sp. Z-Bend (Bellairs-Kalflora 912a)","Myrtaceae",,,"P2","Priority 2: Poorly-known species"
"Banksia ionthocarpa subsp. chrysophoenix","http://id.biodiversity.org.au/node/apni/2916621","Banksia ionthocarpa subsp. chrysophoenix","Proteaceae",,,"CR","Critically endangered"
"Malurus lamberti bernieri","urn:lsid:biodiversity.org.au:afd.taxon:40573e94-beb7-44dc-983d-5b54751dc358","Malurus (Leggeornis) lamberti bernieri","Maluridae",,"Shark Bay variegated fairy-wren","VU","Vulnerable"
"Calothamnus cupularis","http://id.biodiversity.org.au/node/apni/2896994","Calothamnus cupularis","Myrtaceae",,,"P2","Priority 2: Poorly-known species"
"Jacksonia rubra","http://id.biodiversity.org.au/node/apni/2891417","Jacksonia rubra","Fabaceae",,,"P2","Priority 2: Poorly-known species"
"Beyeria lepidopetala","http://id.biodiversity.org.au/node/apni/2890851","Beyeria lepidopetala","Euphorbiaceae",,,"VU","Vulnerable"
"Pityrodia scabra subsp. dendrotricha","http://id.biodiversity.org.au/name/apni/242108","Pityrodia scabra subsp. dendrotricha",,,,"P3","Priority 3: Poorly-known species"
"Acacia calcicola","http://id.biodiversity.org.au/node/apni/2889507","Acacia calcicola","Fabaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Haloragis sp. Parrot Ridge (G.J. Keighery 11563)","http://id.biodiversity.org.au/node/apni/2903664","Haloragis sp. Parrot Ridge (G.J.Keighery 11563)","Haloragaceae",,,"P1","Priority 1: Poorly-known species"
"Eucalyptus ornata","http://id.biodiversity.org.au/node/apni/2906521","Eucalyptus ornata","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Tetratheca butcheriana","http://id.biodiversity.org.au/name/apni/6963488","Tetratheca butcheriana",,,,"P1","Priority 1: Poorly-known species"
"Bossiaea celata","http://id.biodiversity.org.au/node/apni/2911722","Bossiaea celata","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Hibiscus krichauffianus","http://id.biodiversity.org.au/node/apni/2904910","Hibiscus krichauffianus","Malvaceae",,,"P3","Priority 3: Poorly-known species"
"Acacia repanda","http://id.biodiversity.org.au/node/apni/2914321","Acacia repanda","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Indigofera fractiflexa subsp. augustensis","http://id.biodiversity.org.au/node/apni/7235532","Indigofera fractiflexa subsp. augustensis","Fabaceae",,,"P2","Priority 2: Poorly-known species"
"Tephrosia andrewii","http://id.biodiversity.org.au/node/apni/2905145","Tephrosia andrewii","Fabaceae",,,"P1","Priority 1: Poorly-known species"
"Montia australasica","http://id.biodiversity.org.au/node/apni/2900601","Montia australasica","Portulacaceae",,,"P2","Priority 2: Poorly-known species"
"Baeckea sp. Upper Swan (Miss M. Eaton s.n. 1888)","ALA_Baeckea_sp_Upper_Swan_Miss_M_Eaton_s_n_1888","Baeckea sp. Upper Swan (Miss M. Eaton s.n. 1888)",,,,"P1","Priority 1: Poorly-known species"
"Cryptandra congesta","http://id.biodiversity.org.au/node/apni/2890225","Cryptandra congesta","Rhamnaceae",,,"VU","Vulnerable"
"Leucopogon sp. Lake Tay (W.R. Archer 2104138)","http://id.biodiversity.org.au/name/apni/247052","Leucopogon sp. Lake Tay (W.R.Archer 2104138)",,,,"P1","Priority 1: Poorly-known species"
"Caladenia x hopperi","http://id.biodiversity.org.au/name/apni/6432777","Caladenia x hopperi",,,,"P1","Priority 1: Poorly-known species"
"Acacia eremophila var. Numerous-nerved variant (A.S.George 11924)","http://id.biodiversity.org.au/node/apni/2887125","Acacia eremophila var. Numerous-nerved variant (A.S.George 11924)","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Stylidium aceratum","http://id.biodiversity.org.au/node/apni/2910954","Stylidium aceratum","Stylidiaceae",,,"P3","Priority 3: Poorly-known species"
"Baeckea subcuneata","http://id.biodiversity.org.au/node/apni/2897177","Baeckea subcuneata","Myrtaceae",,,"P2","Priority 2: Poorly-known species"
"Banksia foliosissima","http://id.biodiversity.org.au/node/apni/2912766","Banksia foliosissima","Proteaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Stylidium wilroyense","http://id.biodiversity.org.au/node/apni/2916509","Stylidium wilroyense","Stylidiaceae",,,"CR","Critically endangered"
"Chamelaucium sp. Yoongarillup (G.J. Keighery 3635)","http://id.biodiversity.org.au/node/apni/2913208","Chamelaucium sp. Yoongarillup (G.J.Keighery 3635)","Myrtaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Gastrolobium vestitum","http://id.biodiversity.org.au/node/apni/2906608","Gastrolobium vestitum","Fabaceae",,,"EN","Endangered"
"Andersonia sp. Amabile (N. Gibson & M. Lyons 355)","http://id.biodiversity.org.au/node/apni/2914790","Andersonia sp. Amabile (N. Gibson & M. Lyons 355)","Ericaceae",,,"P3","Priority 3: Poorly-known species"
"Pseudomys shortridgei","urn:lsid:biodiversity.org.au:afd.taxon:d89bc96a-f1d4-4e86-8e6a-85a1648771ec","Pseudomys shortridgei","Muridae",,"heath mouse, dayang","VU","Vulnerable"
"Micromyrtus rogeri","http://id.biodiversity.org.au/node/apni/2906121","Micromyrtus rogeri","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Stylidium rhipidium","http://id.biodiversity.org.au/node/apni/2890018","Stylidium rhipidium","Stylidiaceae",,,"P3","Priority 3: Poorly-known species"
"Lasiopetalum cardiophyllum","http://id.biodiversity.org.au/node/apni/2919393","Lasiopetalum cardiophyllum","Malvaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Anticoryne diosmoides","http://id.biodiversity.org.au/node/apni/2920412","Anticoryne diosmoides","Myrtaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Gunniopsis sp. Nuytsland (G.J. Keighery & J.J. Alford 522)","http://id.biodiversity.org.au/node/apni/2890289","Gunniopsis sp. Nuytsland (G.J.Keighery & J.J.Alford 522)","Aizoaceae",,,"P2","Priority 2: Poorly-known species"
"Verticordia aereiflora","http://id.biodiversity.org.au/node/apni/2886486","Verticordia aereiflora","Myrtaceae",,,"P2","Priority 2: Poorly-known species"
"Eremophila glabra subsp. Morawa (C.A. Gardner 7521)",,,,,,"P1","Priority 1: Poorly-known species"
"Hemigenia saligna","http://id.biodiversity.org.au/node/apni/2903403","Hemigenia saligna","Lamiaceae",,,"P3","Priority 3: Poorly-known species"
"Rhodanthe sphaerocephala","http://id.biodiversity.org.au/node/apni/2887937","Rhodanthe sphaerocephala","Asteraceae",,,"P1","Priority 1: Poorly-known species"
"Microcorys eremophiloides","http://id.biodiversity.org.au/node/apni/2909934","Microcorys eremophiloides","Lamiaceae",,,"VU","Vulnerable"
"Stylidium perizostera","http://id.biodiversity.org.au/node/apni/2914417","Stylidium perizostera","Stylidiaceae",,,"P3","Priority 3: Poorly-known species"
"Acacia leptalea","http://id.biodiversity.org.au/node/apni/2890171","Acacia leptalea","Fabaceae",,,"VU","Vulnerable"
"Eragrostis rigidiuscula","http://id.biodiversity.org.au/node/apni/2896834","Eragrostis rigidiuscula","Poaceae",,,"P1","Priority 1: Poorly-known species"
"Eucalyptus famelica","http://id.biodiversity.org.au/node/apni/2911116","Eucalyptus famelica","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Melaleuca sclerophylla","http://id.biodiversity.org.au/node/apni/2917311","Melaleuca sclerophylla","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Trachymene oleracea subsp. sedimenta","http://id.biodiversity.org.au/node/apni/2896920","Trachymene oleracea subsp. sedimenta","Araliaceae",,,"P1","Priority 1: Poorly-known species"
"Lachnagrostis drummondiana","http://id.biodiversity.org.au/node/apni/2893955","Lachnagrostis drummondiana","Poaceae",,,"P1","Priority 1: Poorly-known species"
"Astroloma sp. Grass Patch (A.J.G. Wilson 110)",,,,,,"P2","Priority 2: Poorly-known species"
"Eremophila aureivisca","http://id.biodiversity.org.au/node/apni/2902889","Eremophila aureivisca","Scrophulariaceae",,,"P1","Priority 1: Poorly-known species"
"Thelymitra stellata","http://id.biodiversity.org.au/node/apni/2918992","Thelymitra stellata","Orchidaceae",,,"EN","Endangered"
"Atrichornis clamosus","urn:lsid:biodiversity.org.au:afd.taxon:76ee2552-938f-40cc-b04a-e307683dec9d","Atrichornis (Rahcinta) clamosus","Atrichornithidae",,"noisy scrub-bird, tjimiluk","EN","Endangered"
"Grevillea sp. Harrismith (G.J. Keighery & N. Gibson 7094)","ALA_Grevillea_sp_Harrismith_G_J_Keighery_N_Gibson_7094","Grevillea sp. Harrismith (G.J. Keighery & N. Gibson 7094)",,,,"P1","Priority 1: Poorly-known species"
"Bettongia lesueur graii","urn:lsid:biodiversity.org.au:afd.taxon:7a019451-60d4-4925-82c9-2c3aaf3aeaf4","Bettongia lesueur graii","Potoroidae",,"boodie (inland), burrowing bettong (inland)","EX","Presumed extinct"
"Teucrium sp. Sturt Creek (A.A. Mitchell 5536)","http://id.biodiversity.org.au/node/apni/2918028","Teucrium sp. Sturt Creek (A.A. Mitchell 5536)","Lamiaceae",,,"P1","Priority 1: Poorly-known species"
"Ptilotus procumbens","http://id.biodiversity.org.au/node/apni/2890324","Ptilotus procumbens","Amaranthaceae",,,"P1","Priority 1: Poorly-known species"
"Banksia chamaephyton","http://id.biodiversity.org.au/node/apni/2891363","Banksia chamaephyton","Proteaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Grevillea thyrsoides subsp. pustulata","http://id.biodiversity.org.au/node/apni/2915502","Grevillea thyrsoides subsp. pustulata","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Andersonia axilliflora","http://id.biodiversity.org.au/node/apni/2886487","Andersonia axilliflora","Ericaceae",,,"CR","Critically endangered"
"Tephrosia sp. Saw Ranges (D. Kabay s.n. PERTH 06720544)","ALA_Tephrosia_sp_Saw_Ranges_D_Kabay_s_n_PERTH_06720544","Tephrosia sp. Saw Ranges (D. Kabay s.n. PERTH 06720544)",,,,"P1","Priority 1: Poorly-known species"
"Haemodorum griseofuscum","http://id.biodiversity.org.au/name/apni/4925743","Haemodorum griseofuscum",,,,"P1","Priority 1: Poorly-known species"
"Conospermum undulatum","http://id.biodiversity.org.au/node/apni/2915372","Conospermum undulatum","Proteaceae",,,"VU","Vulnerable"
"Psophodes nigrogularis oberon","urn:lsid:biodiversity.org.au:afd.taxon:82fe070a-df30-496b-bcdf-27028efcfb3e","Psophodes (Phodopses) nigrogularis oberon","Psophodidae",,"western whipbird (western mallee)","P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Hydrolea zeylanica","http://id.biodiversity.org.au/node/apni/2918120","Hydrolea zeylanica","Hydroleaceae",,,"P1","Priority 1: Poorly-known species"
"Austrostipa bronwenae","http://id.biodiversity.org.au/node/apni/2906728","Austrostipa bronwenae","Poaceae",,,"EN","Endangered"
"Eriochloa fatmensis","http://id.biodiversity.org.au/node/apni/2909761","Eriochloa fatmensis","Poaceae",,,"P3","Priority 3: Poorly-known species"
"Lepyrodia extensa","http://id.biodiversity.org.au/node/apni/2908083","Lepyrodia extensa","Restionaceae",,,"P2","Priority 2: Poorly-known species"
"Comesperma rhadinocarpum","http://id.biodiversity.org.au/node/apni/2903941","Comesperma rhadinocarpum","Polygalaceae",,,"P2","Priority 2: Poorly-known species"
"Solanum vansittartense","http://id.biodiversity.org.au/node/apni/2892113","Solanum vansittartense","Solanaceae",,,"P2","Priority 2: Poorly-known species"
"Seringia exastia","http://id.biodiversity.org.au/name/apni/6586527","Seringia exastia",,,,"CR","Critically endangered"
"Tribonanthes minor","http://id.biodiversity.org.au/node/apni/2893229","Tribonanthes minor","Haemodoraceae",,,"P3","Priority 3: Poorly-known species"
"Stenanthemum cristatum","http://id.biodiversity.org.au/node/apni/2892331","Stenanthemum cristatum","Rhamnaceae",,,"P2","Priority 2: Poorly-known species"
"Lepidium sagittulatum","http://id.biodiversity.org.au/node/apni/2905040","Lepidium sagittulatum","Brassicaceae",,,"P1","Priority 1: Poorly-known species"
"Dugong dugon","urn:lsid:biodiversity.org.au:afd.taxon:dfa14228-4f24-48be-b5e6-f91db5ddbbe1","Dugong dugon","Dugongidae",,"dugong","OS","Other specially protected"
"Acacia cummingiana","http://id.biodiversity.org.au/node/apni/2919846","Acacia cummingiana","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Mouldingia orientalis","urn:lsid:biodiversity.org.au:afd.taxon:174b1fb8-1ca3-4474-81fd-6d85f929e468","Nanotrachia orientalis","Camaenidae",,"a camaenid land snail","VU","Vulnerable"
"Proiphys kimberleyensis","http://id.biodiversity.org.au/name/apni/4906459","Proiphys kimberleyensis",,,,"P1","Priority 1: Poorly-known species"
"Loxocarya magna","http://id.biodiversity.org.au/node/apni/2901137","Loxocarya magna","Restionaceae",,,"P3","Priority 3: Poorly-known species"
"Centrolepis milleri","http://id.biodiversity.org.au/name/apni/6476183","Centrolepis milleri",,,,"P3","Priority 3: Poorly-known species"
"Andersonia sp. Blepharifolia (F. & J. Hort 1919)","ALA_Andersonia_sp_Blepharifolia_F_J_Hort_1919","Andersonia sp. Blepharifolia (F. & J. Hort 1919)",,,,"P2","Priority 2: Poorly-known species"
"Stackhousia sp. Stirling Range (W.R. Barker 2399)","http://id.biodiversity.org.au/node/apni/2911533","Stackhousia sp. Stirling Range (W.R.Barker 2399)","Celastraceae",,,"P1","Priority 1: Poorly-known species"
"Beyeria physaphylla","http://id.biodiversity.org.au/node/apni/2916202","Beyeria physaphylla","Euphorbiaceae",,,"P1","Priority 1: Poorly-known species"
"Acacia dimorpha","http://id.biodiversity.org.au/node/apni/2910993","Acacia dimorpha","Fabaceae",,,"P1","Priority 1: Poorly-known species"
"Synaphea oulopha","http://id.biodiversity.org.au/node/apni/2920157","Synaphea oulopha","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Baeckea sp. Walkaway (A.S. George 11249)","http://id.biodiversity.org.au/node/apni/2908352","Baeckea sp. Walkaway (A.S.George 11249)","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Puffinus huttoni","urn:lsid:biodiversity.org.au:afd.taxon:e28d168c-8bb2-4367-9a29-2d4d858fb0da","Puffinus (Puffinus) huttoni","Procellariidae",,"Hutton's shearwater","EN","Endangered"
"Astroloma chloranthum","http://id.biodiversity.org.au/node/apni/7177100","Astroloma chloranthum","Ericaceae",,,"P2","Priority 2: Poorly-known species"
"Sida sp. Barlee Range (S. van Leeuwen 1642)","http://id.biodiversity.org.au/node/apni/2909721","Sida sp. Barlee Range (S. van Leeuwen 1642)","Malvaceae",,,"P3","Priority 3: Poorly-known species"
"Petrophile clavata","http://id.biodiversity.org.au/node/apni/2917432","Petrophile clavata","Proteaceae",,,"P2","Priority 2: Poorly-known species"
"Turgenitubulus christenseni","urn:lsid:biodiversity.org.au:afd.taxon:c5c813d3-7dc1-46db-8f4d-0709481fc04b","Turgenitubulus christenseni","Camaenidae",,"a camaenid land snail","EN","Endangered"
"Persoonia pungens","http://id.biodiversity.org.au/node/apni/2898222","Persoonia pungens","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Goodenia durackiana","http://id.biodiversity.org.au/node/apni/2892530","Goodenia durackiana","Goodeniaceae",,,"P1","Priority 1: Poorly-known species"
"Eucalyptus brevipes","http://id.biodiversity.org.au/node/apni/2908443","Eucalyptus brevipes","Myrtaceae",,,"EN","Endangered"
"Acacia websteri","http://id.biodiversity.org.au/node/apni/2895299","Acacia websteri","Fabaceae",,,"P1","Priority 1: Poorly-known species"
"Cyathostemon sp. Red Roo Rock (G.F. Craig 6896) PN","http://id.biodiversity.org.au/node/apni/2914152","Cyathostemon sp. Red Roo Rock (G.F.Craig 6896)","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Mirbelia stipitata","http://id.biodiversity.org.au/node/apni/2917379","Mirbelia stipitata","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Thelymitra pulcherrima","http://id.biodiversity.org.au/name/apni/222859","Thelymitra pulcherrima",,,,"P2","Priority 2: Poorly-known species"
"Stachystemon nematophorus","http://id.biodiversity.org.au/node/apni/2906615","Stachystemon nematophorus","Picrodendraceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Hemigenia sp. major (C.A. Gardner 2677)",,,,,,"P1","Priority 1: Poorly-known species"
"Hemiandra rutilans","http://id.biodiversity.org.au/node/apni/2903698","Hemiandra rutilans","Lamiaceae",,,"CR","Critically endangered"
"Taenitis pinnata","http://id.biodiversity.org.au/node/apni/2897977","Taenitis pinnata","Pteridaceae",,,"P2","Priority 2: Poorly-known species"
"Schoenus thedae","http://id.biodiversity.org.au/name/apni/4909317","Schoenus thedae",,,,"P1","Priority 1: Poorly-known species"
"Baeckea sp. Dandaragan (G. Paczkowska s.n. PERTH 08245606)","http://id.biodiversity.org.au/name/apni/8933883","Baeckea sp. Dandaragan (G.Paczkowska s.n. PERTH 08245606)",,,,"P1","Priority 1: Poorly-known species"
"Chamelaucium sp. Bunjil (M.E. Ballingall 1970)","http://id.biodiversity.org.au/node/apni/2890753","Chamelaucium sp. Bunjil (M.E.Ballingall 1970)","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Cyathostemon sp. Dowak (J.M. Fox 86/271)","http://id.biodiversity.org.au/node/apni/2905635","Cyathostemon sp. Dowak (J.M.Fox 86/271)","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Banksia catoglypta","http://id.biodiversity.org.au/node/apni/2886553","Banksia catoglypta","Proteaceae",,,"VU","Vulnerable"
"Stylidium leeuwinense","http://id.biodiversity.org.au/node/apni/2889048","Stylidium leeuwinense","Stylidiaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Egernia stokesii stokesii","urn:lsid:biodiversity.org.au:afd.taxon:b7854b3c-494e-4ca5-aad2-ecf1a1f6e962","Egernia stokesii stokesii","Scincidae",,"Houtman Abrolhos spiny-tailed skink","P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Teucrium sp. dwarf (R. Davis 8813)",,,,,,"P1","Priority 1: Poorly-known species"
"Dasymalla axillaris","http://id.biodiversity.org.au/node/apni/2906421","Dasymalla axillaris","Lamiaceae",,,"CR","Critically endangered"
"Baeckea sp. London Bridge (M.E. Trudgen 5393)","http://id.biodiversity.org.au/node/apni/2887201","Baeckea sp. London Bridge (M.E.Trudgen 5393)","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Andersonia bifida","http://id.biodiversity.org.au/node/apni/2919677","Andersonia bifida","Ericaceae",,,"P2","Priority 2: Poorly-known species"
"Chthonocephalus spathulatus","http://id.biodiversity.org.au/node/apni/2908088","Chthonocephalus spathulatus","Asteraceae",,,"P3","Priority 3: Poorly-known species"
"Verticordia crebra","http://id.biodiversity.org.au/node/apni/2909340","Verticordia crebra","Myrtaceae",,,"VU","Vulnerable"
"Grevillea endlicheriana subsp. Wongan Hills (G.J. Keighery 15351)","ALA_Grevillea_endlicheriana_subsp_Wongan_Hills_G_J_Keighery_15351","Grevillea endlicheriana subsp. Wongan Hills (G.J. Keighery 15351)",,,,"P2","Priority 2: Poorly-known species"
"Calycopeplus marginatus","http://id.biodiversity.org.au/node/apni/2896910","Calycopeplus marginatus","Euphorbiaceae",,,"P3","Priority 3: Poorly-known species"
"Acacia adinophylla","http://id.biodiversity.org.au/node/apni/2898130","Acacia adinophylla","Fabaceae",,,"P1","Priority 1: Poorly-known species"
"Tetraria sp. Nannup (P.A. Jurjevich 1133)","http://id.biodiversity.org.au/node/apni/2902967","Tetraria sp. Nannup (P.A.Jurjevich 1133)","Cyperaceae",,,"P1","Priority 1: Poorly-known species"
"Echinochloa kimberleyensis","http://id.biodiversity.org.au/node/apni/2897339","Echinochloa kimberleyensis","Poaceae",,,"P1","Priority 1: Poorly-known species"
"Gastrolobium argyrotrichum","http://id.biodiversity.org.au/name/apni/248011","Gastrolobium argyrotrichum",,,,"CR","Critically endangered"
"Antichiropus sp. DIP013",,,,,"Cloudbreak Antichiropus millipede","P1","Priority 1: Poorly-known species"
"Pandanus spiralis var. flammeus","http://id.biodiversity.org.au/node/apni/7730426","Pandanus spiralis","Pandanaceae",,,"EN","Endangered"
"Maratus sarahae","urn:lsid:biodiversity.org.au:afd.taxon:aa53a0a5-c196-4b4c-a0f6-3d85731b83a4","Maratus sarahae","Salticidae",,"Sarah's peacock spider","CR","Critically endangered"
"Melaleuca manglesii","http://id.biodiversity.org.au/node/apni/2901850","Melaleuca manglesii","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Calytrix pimeleoides","http://id.biodiversity.org.au/node/apni/2918579","Calytrix pimeleoides","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Eriachne sp. Theda (R.L. Barrett & M.D. Barrett RLB 3275)","ALA_Eriachne_sp_Theda_R_L_Barrett_M_D_Barrett_RLB_3275","Eriachne sp. Theda (R.L. Barrett & M.D. Barrett RLB 3275)",,,,"P1","Priority 1: Poorly-known species"
"Micromyrtus elobata subsp. scopula","http://id.biodiversity.org.au/node/apni/2901378","Micromyrtus elobata subsp. scopula","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Tringa hypoleucos (Actitis hypoleucos)","urn:lsid:biodiversity.org.au:afd.taxon:920b5569-aa29-4311-9f33-13bac4512b1d","Actitis hypoleucos","Scolopacidae",,"common sandpiper","IA","Migratory birds protected under international agreement"
"Solanum iodinum","http://id.biodiversity.org.au/node/apni/7970848","Solanum iodinum","Solanaceae",,,"P1","Priority 1: Poorly-known species"
"Triodia acutispicula","http://id.biodiversity.org.au/node/apni/2896034","Triodia acutispicula","Poaceae",,,"P3","Priority 3: Poorly-known species"
"Desmocladus nodatus","http://id.biodiversity.org.au/name/apni/246541","Desmocladus nodatus",,,,"P3","Priority 3: Poorly-known species"
"Hemigenia exilis","http://id.biodiversity.org.au/node/apni/2911728","Hemigenia exilis","Lamiaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Lasiopetalum dielsii","http://id.biodiversity.org.au/node/apni/2918548","Lasiopetalum dielsii","Malvaceae",,,"P2","Priority 2: Poorly-known species"
"Ctenotus decaneurus yampiensis","urn:lsid:biodiversity.org.au:afd.taxon:8be90bd6-06b4-4213-9751-49e34b87eda8","Ctenotus decaneurus yampiensis","Scincidae",,"Yampi ctenotus","P2","Priority 2: Poorly-known species"
"Calytrix formosa","http://id.biodiversity.org.au/node/apni/2892667","Calytrix formosa","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Alysicarpus major","http://id.biodiversity.org.au/node/apni/2895134","Alysicarpus major","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Cyperus flaccidus","http://id.biodiversity.org.au/node/apni/2905164","Cyperus flaccidus","Cyperaceae",,,"P2","Priority 2: Poorly-known species"
"Rhacocarpus rehmannianus var. webbianus","http://id.biodiversity.org.au/node/ausmoss/10109137","Rhacocarpus webbianus","Rhacocarpaceae",,,"CR","Critically endangered"
"Xanthosia tomentosa","http://id.biodiversity.org.au/node/apni/2892813","Xanthosia tomentosa","Apiaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Thalassarche salvini","urn:lsid:biodiversity.org.au:afd.taxon:aac024cb-d7c4-4f3d-9b90-1329d77600f2","Thalassarche salvini","Diomedeidae",,"Salvin's albatross","VU & IA","Vulnerable and Migratory birds protected under international agreement"
"Ogyris subterrestris petrina","urn:lsid:biodiversity.org.au:afd.taxon:036d8400-af44-4247-b96f-a2722a802813","Ogyris subterrestris petrina","Lycaenidae",,"arid bronze azure butterfly","CR","Critically endangered"
