"Supplied Name","guid","scientificName","family","kingdom","family","genus","order","taxonRank","class"
"Euphorbia glauca G.Forst.","NZOR-4-123843","Euphorbia glauca","Euphorbiaceae",,"Euphorbiaceae","Euphorbia","Malpighiales","species","Magnoliopsida"
"Erechtites hispidula Hook.f.","NZOR-4-101484","Senecio scaberulus","Asteraceae",,"Compositae","Senecio","Asterales","species","Magnoliopsida"
"Geranium dissectum var. australe Benth.","http://id.biodiversity.org.au/node/apni/7387418","Geranium potentilloides","Geraniaceae",,"Geraniaceae","Geranium","Geraniales","variety","Magnoliopsida"
"Asplenium trichomanes subsp. quadrivalens D.E.Mey.","NZOR-4-74213","Asplenium trichomanes subsp. quadrivalens","Aspleniaceae",,"Aspleniaceae","Asplenium","Polypodiales","subspecies","Polypodiopsida"
"Carmichaelia diffusa Petrie","NZOR-4-11737","Carmichaelia curta","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Elytranthe ralphii (Tiegh.) Engl.","NZOR-4-49521","Trilepidea adamsii","Loranthaceae",,"Loranthaceae","Trilepidea","Santalales","species","Magnoliopsida"
"Carmichaelia nigrans var. tenuis G.Simpson","NZOR-4-15759","Carmichaelia juncea","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","variety","Magnoliopsida"
"Scirpus fluitans var. curvula (Nees) C.B.Clarke","NZOR-4-128517","Isolepis fluitans (L.) R.Br. var. fluitans","Cyperaceae",,"Cyperaceae","Isolepis","Poales","variety","Magnoliopsida"
"Olearia traversiorum (F.Muell.) Hook.f.","NZOR-4-39781","Olearia traversiorum","Asteraceae",,"Compositae","Olearia","Asterales","species","Magnoliopsida"
"Pittosporum turneri Petrie","NZOR-4-8047","Pittosporum turneri","Pittosporaceae",,"Pittosporaceae","Pittosporum","Apiales","species","Magnoliopsida"
"Achras costata A.Cunn.","NZOR-4-38850","Planchonella novo-zelandica (F.Muell.) Allan (F. Muell.)","Sapotaceae",,"Sapotaceae","Planchonella","Ericales","species","Magnoliopsida"
"Scirpus fluitans var. fascicularis (Nees) Boeckeler","NZOR-4-128517","Isolepis fluitans (L.) R.Br. var. fluitans","Cyperaceae",,"Cyperaceae","Isolepis","Poales","variety","Magnoliopsida"
