"Supplied Name","guid","scientificName","family","kingdom","family","genus","order","taxonRank","class"
"Austrofestuca littoralis (Labill.) E.B.Alexeev","http://id.biodiversity.org.au/node/apni/2908237","Poa billardierei","Poaceae",,"Gramineae","Poa","Poales","species","Magnoliopsida"
"Senecio lautus var. esperensis Sykes","ALA_Senecio_lautus_var_esperensis_Sykes","Senecio lautus var. esperensis Sykes",,,"Compositae","Senecio","Asterales","variety","Magnoliopsida"
"Chaerophyllum basicola (Heenan & Molloy) K.F.Chung","NZOR-4-25536","Chaerophyllum basicola","Apiaceae",,"Umbelliferae","Chaerophyllum","Apiales","species","Magnoliopsida"
"Senecio rotundifolius var. ambiguus Cheeseman","NZOR-4-93248","Brachyglottis rotundifolia var. ambigua","Asteraceae",,"Compositae","Brachyglottis","Asterales","variety","Magnoliopsida"
"Myosotis oreophila Petrie","NZOR-4-110687","Myosotis oreophila","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Prasophyllum patens sensu Cheeseman","ALA_Prasophyllum_patens_sensu_Cheeseman","Prasophyllum patens sensu Cheeseman",,,"Orchidaceae","Prasophyllum","Asparagales","species","Magnoliopsida"
"Sicyos mawhai I.Telford & P.Sebastian","NZOR-4-92215","Sicyos mawhai","Cucurbitaceae",,"Cucurbitaceae","Sicyos","Cucurbitales","species","Magnoliopsida"
"Sapota costata (Endl.) A.DC.","http://id.biodiversity.org.au/node/apni/2900808","Planchonella costata","Sapotaceae",,"Sapotaceae","Planchonella","Ericales","species","Magnoliopsida"
"Acrostichum leptophyllum (L.) Lam. & DC.","http://id.biodiversity.org.au/node/apni/2911389","Anogramma leptophylla","Pteridaceae",,"Pteridaceae","Anogramma","Polypodiales","species","Polypodiopsida"
"Myosotis laeta Cheeseman","NZOR-4-124054","Myosotis laeta","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Geranium drummondii Carolin","http://id.biodiversity.org.au/node/apni/7387836","Geranium solanderi","Geraniaceae",,"Geraniaceae","Geranium","Geraniales","species","Magnoliopsida"
"Euchiton ensifer (D.G.Drury) Holub","NZOR-4-45304","Euchiton ensifer","Asteraceae",,"Compositae","Euchiton","Asterales","species","Magnoliopsida"
"Elytranthe tetrapetala (Murray) Engl.","NZOR-4-71548","Peraxilla tetrapetala","Loranthaceae",,"Loranthaceae","Peraxilla","Santalales","species","Magnoliopsida"
"Raoulia cheesemanii Beauverd","NZOR-4-84970","Raoulia monroi","Asteraceae",,"Compositae","Raoulia","Asterales","species","Magnoliopsida"
"Dichelachne lautumia Edgar & Connor","NZOR-4-37775","Dichelachne lautumia","Poaceae",,"Gramineae","Dichelachne","Poales","species","Magnoliopsida"
"Leptinella conjuncta Heenan","NZOR-4-29046","Leptinella conjuncta","Asteraceae",,"Compositae","Leptinella","Asterales","species","Magnoliopsida"
"Pimelea tomentosa (J.R.Forst. & G.Forst.) Druce","NZOR-4-21492","Pimelea tomentosa","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","species","Magnoliopsida"
"Isoetes multiangularis Colenso","NZOR-4-35845","Isoetes kirkii","Isoetaceae",,"Isoetaceae","Isoetes","Isoetales","species","Lycopodiopsida"
"Nephrodium gongylodes sensu Carse","ALA_Nephrodium_gongylodes_sensu_Carse","Nephrodium gongylodes sensu Carse",,,"Thelypteridaceae","Cyclosorus","Polypodiales","species","Polypodiopsida"
"Raoulia monroi Hook.f.","NZOR-4-84970","Raoulia monroi","Asteraceae",,"Compositae","Raoulia","Asterales","species","Magnoliopsida"
"Carmichaelia nigrans G.Simpson var. nigrans","NZOR-4-15759","Carmichaelia juncea","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","variety","Magnoliopsida"
"Sebaea ovata (Labill.) R.Br.","http://id.biodiversity.org.au/node/apni/2887014","Sebaea ovata","Gentianaceae",,"Gentianaceae","Sebaea","Gentianales","species","Magnoliopsida"
"Hebe societatis Bayly & Kellow","NZOR-4-93496","Veronica societatis","Plantaginaceae",,"Plantaginaceae","Hebe","Lamiales","species","Magnoliopsida"
"Eryngium vesiculosum Labill.","http://id.biodiversity.org.au/node/apni/4331884","Eryngium vesiculosum","Apiaceae",,"Umbelliferae","Eryngium","Apiales","species","Magnoliopsida"
"Sonchus littoralis (Kirk) Cockayne","NZOR-4-3023","Sonchus kirkii","Asteraceae",,"Compositae","Sonchus","Asterales","species","Magnoliopsida"
"Senecio huntii F.Muell.","NZOR-4-108035","Brachyglottis huntii","Asteraceae",,"Compositae","Brachyglottis","Asterales","species","Magnoliopsida"
"Libertia ixioides sensu Moore","ALA_Libertia_ixioides_sensu_Moore","Libertia ixioides sensu Moore",,,"Iridaceae","Libertia","Asparagales","species","Magnoliopsida"
"Mertensia tenera (R.Br.) Poir.","http://id.biodiversity.org.au/node/apni/2896351","Sticherus tener","Gleicheniaceae",,"Gleicheniaceae","Sticherus","Gleicheniales","species","Polypodiopsida"
"Mimusops laurina A.Cunn.","http://id.biodiversity.org.au/node/apni/2900808","Planchonella costata","Sapotaceae",,"Sapotaceae","Planchonella","Ericales","species","Magnoliopsida"
"Marattia salicina Sm.","urn:lsid:biodiversity.org.au:apni.taxon:425691","Marattia salicina","Marattiaceae",,"Marattiaceae","Ptisana","Marattiales","species","Marattiopsida"
"Myosotis colensoi (Kirk) Cockayne & Allan","NZOR-4-17658","Myosotis colensoi","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Pterostylis furcata var. linearis Hatch","NZOR-4-129046","Pterostylis paludosa","Orchidaceae",,"Orchidaceae","Pterostylis","Asparagales","variety","Magnoliopsida"
"Mitrasacme montana var. helmsii Kirk","NZOR-4-79971","Mitrasacme montana var. helmsii","Loganiaceae",,"Loganiaceae","Mitrasacme","Gentianales","variety","Magnoliopsida"
"Heliohebe maccaskillii (Allan) D.A.Norton & Molloy","NZOR-4-80670","Veronica maccaskillii","Plantaginaceae",,"Scrophulariaceae","Heliohebe","Lamiales","species","Magnoliopsida"
"Cotula featherstonii (F.Muell.) Hook.f.","NZOR-4-66899","Leptinella featherstonii","Asteraceae",,"Compositae","Leptinella","Asterales","species","Magnoliopsida"
"Lepidium sisymbrioides sensu Garnock-Jones in Webb et al.","ALA_Lepidium_sisymbrioides_sensu_Garnock_Jones_in_Webb_et_al","Lepidium sisymbrioides sensu Garnock-Jones in Webb et al.",,,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Carmichaelia nana (Hook.f.) Hook.f.","NZOR-4-70","Carmichaelia nana","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Lepidium sisymbrioides subsp. solandri var. typicum Thell.","NZOR-4-41303","Lepidium solandri","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","variety","Magnoliopsida"
"Carmichaelia crassicaulis Hook.f. subsp. crassicaulis","NZOR-4-9514","Carmichaelia crassicaulis Hook.f. subsp. crassicaulis","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","subspecies","Magnoliopsida"
"Lepilaena bilocularis Kirk","http://id.biodiversity.org.au/node/apni/2919745","Lepilaena bilocularis","Potamogetonaceae",,"Potamogetonaceae","Lepilaena","Alismatales","species","Magnoliopsida"
"Sonchus kirkii Hamlin","NZOR-4-3023","Sonchus kirkii","Asteraceae",,"Compositae","Sonchus","Asterales","species","Magnoliopsida"
"Solanum aviculare var. albiflorum Cheeseman","NZOR-4-23062","Solanum aviculare G.Forst. var. aviculare","Solanaceae",,"Solanaceae","Solanum","Solanales","variety","Magnoliopsida"
"Simplicia laxa Kirk","NZOR-4-116072","Simplicia laxa","Poaceae",,"Gramineae","Simplicia","Poales","species","Magnoliopsida"
"Coprosma brunnea (Kirk) Cockayne ex Cheeseman","NZOR-4-120667","Coprosma acerosa","Rubiaceae",,"Rubiaceae","Coprosma","Gentianales","species","Magnoliopsida"
"Cotula nana D.G.Lloyd","NZOR-4-132521","Leptinella nana","Asteraceae",,"Compositae","Leptinella","Asterales","species","Magnoliopsida"
"Senecio germinatus Kirk","NZOR-4-55306","Traversia baccharoides","Asteraceae",,"Compositae","Traversia","Asterales","species","Magnoliopsida"
"Thelymitra sanscilia Irwin ex Hatch","NZOR-4-101183","Thelymitra sanscilia","Orchidaceae",,"Orchidaceae","Thelymitra","Asparagales","species","Magnoliopsida"
"Machaerina complanata (Berggr.) T.Koyama","NZOR-4-75616","Machaerina complanata",,,"Cyperaceae","Machaerina","Poales","species","Magnoliopsida"
"Passerina pilosa L.f.","NZOR-4-21492","Pimelea tomentosa","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","species","Magnoliopsida"
"Lepidium kirkii Petrie","NZOR-4-37372","Lepidium kirkii","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Epilobium pictum Petrie","NZOR-4-4803","Epilobium pictum","Onagraceae",,"Onagraceae","Epilobium","Myrtales","species","Magnoliopsida"
"Plagianthus betulinus var. chathamicus (Cockayne) Cockayne","NZOR-4-11814","Plagianthus regius subsp. chathamicus","Malvaceae",,"Malvaceae","Plagianthus","Malvales","variety","Magnoliopsida"
"Iphigenia novae-zelandiae Baker","NZOR-4-106384","Iphigenia novae-zelandiae","Colchicaceae",,"Colchicaceae","Iphigenia","Liliales","species","Magnoliopsida"
"Cyclosorus interruptus (Willd.) H.Itô","http://id.biodiversity.org.au/node/apni/2906665","Cyclosorus interruptus","Thelypteridaceae",,"Thelypteridaceae","Cyclosorus","Polypodiales","species","Polypodiopsida"
"Streblus banksii (Cheeseman) C.J.Webb","NZOR-4-93683","Streblus banksii","Moraceae",,"Moraceae","Streblus","Rosales","species","Magnoliopsida"
"Hebe rigidula var. sulcata Bayly & Kellow","NZOR-4-120925","Veronica rigidula var. sulcata","Plantaginaceae",,"Plantaginaceae","Hebe","Lamiales","variety","Magnoliopsida"
"Oreomyrrhis colensoi var. delicatula Allan","NZOR-4-48741","Chaerophyllum colensoi var. delicatulum","Apiaceae",,"Umbelliferae","Chaerophyllum","Apiales","variety","Magnoliopsida"
"Aralia lyallii Kirk","NZOR-4-69549","Stilbocarpa lyallii","Umbelliferae",,"Umbelliferae","Stilbocarpa","Apiales","species","Magnoliopsida"
"Osmunda barbara (L.) Thunb.","http://id.biodiversity.org.au/node/apni/2916843","Todea barbara","Osmundaceae",,"Osmundaceae","Todea","Osmundales","species","Polypodiopsida"
"Streblus heterophyllus var. ellipticus (Kirk) Corner","NZOR-4-93683","Streblus banksii","Moraceae",,"Moraceae","Streblus","Rosales","variety","Magnoliopsida"
"Pachycladon cheesemanii Heenan & A.D.Mitch.","NZOR-4-105837","Pachycladon cheesemanii",,,"Cruciferae","Pachycladon","Brassicales","species","Magnoliopsida"
"Rorippa divaricata (Hook.f.) Garn.-Jones & Jonsell","NZOR-4-37497","Rorippa divaricata","Brassicaceae",,"Cruciferae","Rorippa","Brassicales","species","Magnoliopsida"
"Loranthus colensoi Hook.f.","NZOR-4-47250","Peraxilla colensoi","Loranthaceae",,"Loranthaceae","Peraxilla","Santalales","species","Magnoliopsida"
"Dichelachne sciurea (R.Br.) Hook.f.","http://id.biodiversity.org.au/node/apni/2909052","Dichelachne micrantha","Poaceae",,"Gramineae","Dichelachne","Poales","species","Magnoliopsida"
"Carmichaelia uniflora Kirk","NZOR-4-97851","Carmichaelia uniflora","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Deyeuxia tenuis (Cheeseman) Zotov","NZOR-4-40541","Lachnagrostis tenuis","Poaceae",,"Gramineae","Lachnagrostis","Poales","species","Magnoliopsida"
"Stipa micrantha Cav.","http://id.biodiversity.org.au/node/apni/2909052","Dichelachne micrantha","Poaceae",,"Gramineae","Dichelachne","Poales","species","Magnoliopsida"
"Gratiola concinna Colenso","http://id.biodiversity.org.au/node/apni/2894208","Gratiola nana","Plantaginaceae",,"Plantaginaceae","Gratiola","Lamiales","species","Magnoliopsida"
"Carmichaelia muritai (A.W.Purdie) Heenan","NZOR-4-4719","Carmichaelia muritai","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Hebe speciosa (A.Cunn.) Andersen","NZOR-4-33216","Hebe speciosa (A.Cunn.) Andersen (R.Cunn. ex A.Cunn.)","Plantaginaceae",,"Plantaginaceae","Hebe","Lamiales","species","Magnoliopsida"
"Pouteria costata var. austro-montana (H.J.Lam) Baehni","http://id.biodiversity.org.au/node/apni/2900808","Planchonella costata","Sapotaceae",,"Sapotaceae","Planchonella","Ericales","variety","Magnoliopsida"
"Peraxilla tetrapetala (L.f.) Tiegh.","NZOR-4-71548","Peraxilla tetrapetala","Loranthaceae",,"Loranthaceae","Peraxilla","Santalales","species","Magnoliopsida"
"Craspedia uniflora var. maritima Allan","NZOR-4-58544","Craspedia uniflora var. maritima","Asteraceae",,"Compositae","Craspedia","Asterales","variety","Magnoliopsida"
"Myosotis ramificata G.Simpson","NZOR-4-58684","Myosotis pygmaea","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Leptinella rotundata (Cheeseman) D.G.Lloyd & C.J.Webb","NZOR-4-91521","Leptinella rotundata","Asteraceae",,"Compositae","Leptinella","Asterales","species","Magnoliopsida"
"Huperzia drummondii (Kunze) Christenh. & H.Schneid.","http://id.biodiversity.org.au/node/apni/2899597","Phylloglossum drummondii","Lycopodiaceae",,"Lycopodiaceae","Phylloglossum","Lycopodiales","species","Lycopodiopsida"
"Metrosideros bartlettii J.W.Dawson","NZOR-4-131750","Metrosideros bartlettii","Myrtaceae",,"Myrtaceae","Metrosideros","Myrtales","species","Magnoliopsida"
"Juncus pauciflorus R.Br.","http://id.biodiversity.org.au/node/apni/2887979","Juncus pauciflorus","Juncaceae",,"Juncaceae","Juncus","Poales","species","Magnoliopsida"
"Hibiscus trionoides G.Don","http://id.biodiversity.org.au/node/apni/2888546","Hibiscus richardsonii","Malvaceae",,"Malvaceae","Hibiscus","Malvales","species","Magnoliopsida"
"Sticherus tener (R.Br.) Ching","http://id.biodiversity.org.au/node/apni/2896351","Sticherus tener","Gleicheniaceae",,"Gleicheniaceae","Sticherus","Gleicheniales","species","Polypodiopsida"
"Lepidium amissum de Lange & Heenan","NZOR-4-54156","Lepidium amissum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Stipa arundinacea (Hook.f.) Benth.","NZOR-4-33397","Anemanthele lessoniana","Poaceae",,"Gramineae","Anemanthele","Poales","species","Magnoliopsida"
"Chaerophyllum colensoi var. delicatulum (Allan) K.F.Chung","NZOR-4-48741","Chaerophyllum colensoi var. delicatulum","Apiaceae",,"Umbelliferae","Chaerophyllum","Apiales","variety","Magnoliopsida"
"Geranium sessiliflorum var. arenarium G.Simpson & J.S.Thomson","NZOR-4-74068","Geranium sessiliflorum var. arenarium","Geraniaceae",,"Geraniaceae","Geranium","Geraniales","variety","Magnoliopsida"
"Nasturtium neozelandicum Kuntze","http://id.biodiversity.org.au/node/apni/2892260","Lepidium flexicaule","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Puccinellia raroflorens Edgar","NZOR-4-31068","Puccinellia raroflorens","Poaceae",,"Gramineae","Puccinellia","Poales","species","Magnoliopsida"
"Pterostylis paludosa D.L.Jones, Molloy & M.A.Clem.","NZOR-4-129046","Pterostylis paludosa","Orchidaceae",,"Orchidaceae","Pterostylis","Asparagales","species","Magnoliopsida"
"Schedonorus littoralis (Labill.) P.Beauv.","http://id.biodiversity.org.au/node/apni/2908237","Poa billardierei","Poaceae",,"Gramineae","Poa","Poales","species","Magnoliopsida"
"Danthonia rigida var. teretifolia (Petrie) Zotov","NZOR-4-7563","Chionochloa juncea","Poaceae",,"Gramineae","Chionochloa","Poales","variety","Magnoliopsida"
"Carex dolomitica Heenan & de Lange","NZOR-4-129301","Carex dolomitica","Cyperaceae",,"Cyperaceae","Carex","Poales","species","Magnoliopsida"
"Trilepidea adamsii (Cheeseman) Tiegh.","NZOR-4-49521","Trilepidea adamsii","Loranthaceae",,"Loranthaceae","Trilepidea","Santalales","species","Magnoliopsida"
"Melicytus drucei Molloy & B.D.Clarkson","NZOR-4-32859","Melicytus drucei","Violaceae",,"Violaceae","Melicytus","Malpighiales","species","Magnoliopsida"
"Pterostylis polyphylla Colenso","NZOR-4-82347","Pterostylis micromega","Orchidaceae",,"Orchidaceae","Pterostylis","Asparagales","species","Magnoliopsida"
"Olearia oporina Hook.f.","NZOR-4-49785","Olearia chathamica","Asteraceae",,"Compositae","Olearia","Asterales","species","Magnoliopsida"
"Senecio turneri Cheeseman","NZOR-4-72912","Brachyglottis turneri","Asteraceae",,"Compositae","Brachyglottis","Asterales","species","Magnoliopsida"
"Schoenus carsei Cheeseman","http://id.biodiversity.org.au/node/apni/2900112","Schoenus carsei","Cyperaceae",,"Cyperaceae","Schoenus","Poales","species","Magnoliopsida"
"Carmichaelia floribunda G.Simpson","NZOR-4-15759","Carmichaelia juncea","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Carex comans var. stricta Cheeseman","http://id.biodiversity.org.au/instance/apni/764400","Carex albula","Cyperaceae",,"Cyperaceae","Carex","Poales","variety","Magnoliopsida"
"Agrostis lessoniana Steud.","NZOR-4-33397","Anemanthele lessoniana","Poaceae",,"Gramineae","Anemanthele","Poales","species","Magnoliopsida"
"Acaena buchananii Hook.f.","NZOR-4-22131","Acaena buchananii","Rosaceae",,"Rosaceae","Acaena","Rosales","species","Magnoliopsida"
"Hebe armstrongii (J.B.Armstr.) Cockayne & Allan","ALA_Hebe_armstrongii_J_B_Armstr_Cockayne_Allan","Hebe armstrongii (J.B.Armstr.) Cockayne & Allan",,,"Plantaginaceae","Hebe","Lamiales","species","Magnoliopsida"
"Stilbocarpa lyallii J.B.Armstr.","NZOR-4-69549","Stilbocarpa lyallii","Umbelliferae",,"Umbelliferae","Stilbocarpa","Apiales","species","Magnoliopsida"
"Hebe perbella de Lange","NZOR-4-83561","Veronica perbella","Plantaginaceae",,"Plantaginaceae","Hebe","Lamiales","species","Magnoliopsida"
"Ophioglossum vulgatum L.; G.M.Thomson","ALA_Ophioglossum_vulgatum_L.;_G.M.Thomson","Ophioglossum vulgatum L.; G.M.Thomson",,,"Ophioglossaceae","Ophioglossum","Ophioglossales","species","Psilotopsida"
"Austroderia turbaria (Connor) N.P.Barker & H.P.Linder","NZOR-4-12144","Austroderia turbaria",,,"Gramineae","Austroderia","Poales","species","Magnoliopsida"
"Epilobium brasiliense Hausskn.","http://id.biodiversity.org.au/node/apni/2910254","Epilobium hirtigerum","Onagraceae",,"Onagraceae","Epilobium","Myrtales","species","Magnoliopsida"
"Carmichaelia enysii var. ambigua G.Simpson","NZOR-4-70","Carmichaelia nana","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","variety","Magnoliopsida"
"Cotula membranacea D.G.Lloyd","NZOR-4-100027","Leptinella tenella","Asteraceae",,"Compositae","Leptinella","Asterales","species","Magnoliopsida"
"Lepidium oblitum Houliston, Heenan & de Lange","NZOR-4-50198","Lepidium oblitum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Crassula purpurata (Hook.f.) Domin","http://id.biodiversity.org.au/node/apni/2895654","Crassula peduncularis","Crassulaceae",,"Crassulaceae","Crassula","Saxifragales","species","Magnoliopsida"
"Lepidium sisymbrioides subsp. solandri var. ovalis Thell.","NZOR-4-79637","Lepidium sisymbrioides","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","variety","Magnoliopsida"
"Pterostylis tanypoda D.L.Jones, Molloy & M.A.Clem.","NZOR-4-52245","Hymenochilus tanypodus (D.L.Jones, Molloy & M.A.Clem) D.L.Jones, M.A.Clem. & Molloy (D.L.Jones, Molloy & M.A.Clem.)","Orchidaceae",,"Orchidaceae","Pterostylis","Asparagales","species","Magnoliopsida"
"Pomaderris phylicifolia Lodd. ex Link var. phylicifolia","NZOR-4-79854","Pomaderris phylicifolia Lodd. ex Link subsp. phylicifolia","Rhamnaceae",,"Rhamnaceae","Pomaderris","Rosales","variety","Magnoliopsida"
"Carex australis sensu Kirk","ALA_Carex_australis_sensu_Kirk","Carex australis sensu Kirk",,,"Cyperaceae","Carex","Poales","species","Magnoliopsida"
"Acaena rorida B.H.Macmill.","NZOR-4-121144","Acaena rorida","Rosaceae",,"Rosaceae","Acaena","Rosales","species","Magnoliopsida"
"Lepidium rekohuense de Lange & Heenan","NZOR-4-35986","Lepidium rekohuense","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Dysphania pusilla (Hook.f.) Mosyakin & Clemants","NZOR-4-43150","Dysphania pusilla","Chenopodiaceae",,"Amaranthaceae","Dysphania","Caryophyllales","species","Magnoliopsida"
"Erechtites diversifolia Petrie","NZOR-4-317","Senecio dunedinensis","Asteraceae",,"Compositae","Senecio","Asterales","species","Magnoliopsida"
"Pittosporum dallii Cheeseman","NZOR-4-56383","Pittosporum dallii","Pittosporaceae",,"Pittosporaceae","Pittosporum","Apiales","species","Magnoliopsida"
"Libertia peregrinans Cockayne & Allan","NZOR-4-20279","Libertia peregrinans","Iridaceae",,"Iridaceae","Libertia","Asparagales","species","Magnoliopsida"
"Prasophyllum hectorii (Buchanan) Molloy, D.L.Jones & M.A.Clem.","NZOR-4-22160","Prasophyllum hectorii","Orchidaceae",,"Orchidaceae","Prasophyllum","Asparagales","species","Magnoliopsida"
"Planchonella costata (Endl.) Pierre","http://id.biodiversity.org.au/node/apni/2900808","Planchonella costata","Sapotaceae",,"Sapotaceae","Planchonella","Ericales","species","Magnoliopsida"
"Polypodium leptophyllum L.","http://id.biodiversity.org.au/node/apni/2911389","Anogramma leptophylla","Pteridaceae",,"Pteridaceae","Anogramma","Polypodiales","species","Polypodiopsida"
"Trisetum antarcticum (G.Forst.) Trin.","NZOR-4-41491","Trisetum antarcticum","Poaceae",,"Gramineae","Trisetum","Poales","species","Magnoliopsida"
"Carmichaelia curta Petrie var. curta","NZOR-4-11737","Carmichaelia curta","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","variety","Magnoliopsida"
"Lagenophora stipitata var. montana (Hook.f.) Cabrera","http://id.biodiversity.org.au/node/apni/2891865","Lagenophora montana","Asteraceae",,"Compositae","Lagenifera","Asterales","variety","Magnoliopsida"
"Centipeda minima (L.) A.Braun & Asch. subsp. minima","NZOR-4-90854","Centipeda minima (L.) A.Braun & Asch. subsp. minima","Asteraceae",,"Compositae","Centipeda","Asterales","subspecies","Magnoliopsida"
"Olearia gardneri Heads","NZOR-4-44023","Olearia gardneri","Asteraceae",,"Compositae","Olearia","Asterales","species","Magnoliopsida"
"Senecio cockaynei G.Simpson & J.S.Thomson","NZOR-4-1457","Brachyglottis cockaynei","Asteraceae",,"Compositae","Brachyglottis","Asterales","species","Magnoliopsida"
"Coprosma waima A.P.Druce","NZOR-4-41352","Coprosma waima","Rubiaceae",,"Rubiaceae","Coprosma","Gentianales","species","Magnoliopsida"
"Schedonorus littoralis var. ? minor Hook.f.","ALA_Schedonorus_littoralis_var_minor_Hook_f","Schedonorus littoralis var. ? minor Hook.f.",,,"Gramineae","Poa","Poales","variety","Magnoliopsida"
"Coprosma pedicellata Molloy, de Lange & B.D.Clarkson","NZOR-4-18720","Coprosma pedicellata","Rubiaceae",,"Rubiaceae","Coprosma","Gentianales","species","Magnoliopsida"
"Ophioglossum petiolatum Hook.","http://id.biodiversity.org.au/node/apni/2888811","Ophioglossum reticulatum","Ophioglossaceae",,"Ophioglossaceae","Ophioglossum","Ophioglossales","species","Psilotopsida"
"Ceratocephala pungens Garn.-Jones","NZOR-4-122671","Ceratocephala pungens","Ranunculaceae",,"Ranunculaceae","Ceratocephala","Ranunculales","species","Magnoliopsida"
"Hymenanthera crassifolia Hook.f.","NZOR-4-64726","Melicytus crassifolius","Violaceae",,"Violaceae","Melicytus","Malpighiales","species","Magnoliopsida"
"Hebe saxicola de Lange","NZOR-4-83561","Veronica perbella","Plantaginaceae",,"Plantaginaceae","Hebe","Lamiales","species","Magnoliopsida"
"Olearia telmatica Heenan & de Lange","NZOR-4-26868","Olearia telmatica","Asteraceae",,"Compositae","Olearia","Asterales","species","Magnoliopsida"
"Convolvulus verecundus Allan","NZOR-4-23394","Convolvulus verecundus","Convolvulaceae",,"Convolvulaceae","Convolvulus","Solanales","species","Magnoliopsida"
"Triglochin palustris L.","NZOR-4-89441","Triglochin palustris","Juncaginaceae",,"Juncaginaceae","Triglochin","Alismatales","species","Magnoliopsida"
"Trisetum saxeticolum Cockayne & Allan","NZOR-4-41491","Trisetum antarcticum","Poaceae",,"Gramineae","Trisetum","Poales","species","Magnoliopsida"
"Pseudolycopodiella serpentina (Kunze) Holub","http://id.biodiversity.org.au/node/apni/2905113","Lycopodiella serpentina","Lycopodiaceae",,"Lycopodiaceae","Lycopodiella","Lycopodiales","species","Lycopodiopsida"
"Corallospartium crassicaule var. racemosum Kirk","NZOR-4-36915","Carmichaelia crassicaulis subsp. racemosa","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","variety","Magnoliopsida"
"Leonohebe cupressoides (Hook.f.) Heads","NZOR-4-128777","Leonohebe cupressoides","Plantaginaceae",,"Scrophulariaceae","Leonohebe","Lamiales","species","Magnoliopsida"
"Lachnagrostis tenuis (Cheeseman) Edgar","NZOR-4-40541","Lachnagrostis tenuis","Poaceae",,"Gramineae","Lachnagrostis","Poales","species","Magnoliopsida"
"Leptinella nana (D.G.Lloyd) D.G.Lloyd & C.J.Webb","NZOR-4-132521","Leptinella nana","Asteraceae",,"Compositae","Leptinella","Asterales","species","Magnoliopsida"
"Elytranthe colensoi (Hook.f.) Engl.","NZOR-4-47250","Peraxilla colensoi","Loranthaceae",,"Loranthaceae","Peraxilla","Santalales","species","Magnoliopsida"
"Pterostylis tristis Colenso","NZOR-4-100532","Hymenochilus tristis","Orchidaceae",,"Orchidaceae","Pterostylis","Asparagales","species","Magnoliopsida"
"Anisotome acutifolia (Kirk) Cockayne","NZOR-4-91260","Anisotome acutifolia","Apiaceae",,"Umbelliferae","Anisotome","Apiales","species","Magnoliopsida"
"Gentianella calcis subsp. taiko Glenny & Molloy","NZOR-4-113100","Gentianella calcis subsp. taiko","Gentianaceae",,"Gentianaceae","Gentianella","Gentianales","subspecies","Magnoliopsida"
"Gunnera densiflora Hook.f.","NZOR-4-129934","Gunnera densiflora","Gunneraceae",,"Gunneraceae","Gunnera","Gunnerales","species","Magnoliopsida"
"Leptinella filiformis (Hook.f.) D.G.Lloyd & C.J.Webb","NZOR-4-66289","Leptinella filiformis","Asteraceae",,"Compositae","Leptinella","Asterales","species","Magnoliopsida"
"Pennantia baylisiana (W.R.B.Oliv.) G.T.S.Baylis","NZOR-4-103329","Pennantia baylisiana","Pennantiaceae",,"Pennantiaceae","Pennantia","Apiales","species","Magnoliopsida"
"Prasophyllum suttonii sensu Hatch","ALA_Prasophyllum_suttonii_sensu_Hatch","Prasophyllum suttonii sensu Hatch",,,"Orchidaceae","Prasophyllum","Asparagales","species","Magnoliopsida"
"Pisonia brunoniana Endl.","http://id.biodiversity.org.au/node/apni/2901305","Pisonia brunoniana","Nyctaginaceae",,"Nyctaginaceae","Pisonia","Caryophyllales","species","Magnoliopsida"
"Neopaxia drucei Heenan","NZOR-4-96492","Montia drucei","Portulacaceae",,"Portulacaceae","Montia","Caryophyllales","species","Magnoliopsida"
"Avena antarctica (G.Forst.) Roem. & Schult.","NZOR-4-41491","Trisetum antarcticum","Poaceae",,"Gramineae","Trisetum","Poales","species","Magnoliopsida"
"Hypericum japonicum sensu Allan","ALA_Hypericum_japonicum_sensu_Allan","Hypericum japonicum sensu Allan",,,"Hypericaceae","Hypericum","Malpighiales","species","Magnoliopsida"
