"Supplied Name","guid","scientificName","family","kingdom","vernacular name","family","TSC Status","TSC Status Description","taxonRemarks","Reason","category","generalisation"
"Pterostylis vernalis (D.L. Jones) G.N. Backh.","http://id.biodiversity.org.au/name/apni/226107","Pterostylis vernalis",,,,"Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Pterostylis chaetophora M.A. Clem. & D.L. Jones","http://id.biodiversity.org.au/name/apni/74270","Pterostylis chaetophora",,,,"Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Leucopogon confertus Benth. ","http://id.biodiversity.org.au/node/apni/2895126","Leucopogon confertus","Ericaceae",,"Torrington Beard-heath","Epacridaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Pezoporus wallicus wallicus","urn:lsid:biodiversity.org.au:afd.taxon:350c7a04-c587-4ca6-84b8-1f993eda8b11","Pezoporus wallicus wallicus","Psittacidae",,"Ground Parrot (eastern subsp.)","Psittacidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Gyrostemon thesioides (Hook. f.) A.S. George ","http://id.biodiversity.org.au/node/apni/2898598","Gyrostemon thesioides","Gyrostemonaceae",,,"Gyrostemonaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Caladenia attenuata (Brinsley) D.L.Jones","http://id.biodiversity.org.au/name/apni/175383","Caladenia attenuata",,,"Duramana Fingers","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Philoria loveridgei","urn:lsid:biodiversity.org.au:afd.taxon:f1e8b187-acbb-472d-89e7-a1900b4acdc7","Philoria loveridgei","Limnodynastidae",,,"Myobatrachidae","E1","Endangered",,"Risk of collection and disease","2","10km"
"Genoplesium plumosum (Rupp) D.L. Jones & M.A. Clem. ","http://id.biodiversity.org.au/node/apni/2894851","Genoplesium plumosum","Orchidaceae",,"Tallong Midge Orchid","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Dendrobium melaleucaphilum M. A. Clem. & D. L. Jones ","http://id.biodiversity.org.au/name/apni/248573","Dendrobium melaleucaphilum",,,"Spider orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Ninox connivens","urn:lsid:biodiversity.org.au:afd.taxon:a64b3461-23eb-47fe-9cf1-5d639ea47670","Ninox (Hieracoglaux) connivens","Strigidae",,,"Strigidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Diuris tricolor Fitzg.","http://id.biodiversity.org.au/node/apni/2903119","Diuris tricolor","Orchidaceae",,"Pine Donkey Orchid","Orchidaceae","E2, V","Endangered Population, Vulnerable","Previously Diuris sheaffiana Fitzg.","Risk of disturbance and collection","2","10km"
"Genoplesium superbum D.L. Jones","http://id.biodiversity.org.au/name/apni/117491","Genoplesium superbum",,,"Superb Midge Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Thelymitra sp. adorata (B. Branwhite JAJ1030) J. Jeanes ined.","ALA_Thelymitra_sp_adorata_B_Branwhite_JAJ1030_J_Jeanes_ined","Thelymitra sp. adorata (B. Branwhite JAJ1030) J. Jeanes ined.",,,,"Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Calyptorhynchus lathami","urn:lsid:biodiversity.org.au:afd.taxon:db6c2bba-e721-407d-bb54-7e5b0ade3376","Calyptorhynchus (Calyptorhynchus) lathami","Cacatuidae",,,"Cacatuidae","V, E2","Vulnerable, Endangered Population",,"Risk of egg collection and nest disturbance","2","10km"
"Grevillea beadleana McGillivray ","http://id.biodiversity.org.au/node/apni/2900555","Grevillea beadleana","Proteaceae",,"Beadle's Grevillea","Proteaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Lindsaea fraseri Hook. ","http://id.biodiversity.org.au/node/apni/2906676","Lindsaea fraseri","Lindsaeaceae",,"Fraser's Screw Fern","Lindsaeaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Grevillea caleyi R. Br.","http://id.biodiversity.org.au/node/apni/2912335","Grevillea caleyi","Proteaceae",,,"Proteaceae","E4A","Critically Endangered",,"Risk of disturbance","3","1km"
"Neophema chrysogaster","urn:lsid:biodiversity.org.au:afd.taxon:bb3b5394-ebf7-41cc-8cd7-9f9bd28fa8e7","Neophema (Neonanodes) chrysogaster","Psittacidae",,,"Psittacidae","E4A","Critically Endangered",,"Risk of egg collection and nest disturbance","3","1km"
"Elymus multiflorus subsp. kingianus","http://id.biodiversity.org.au/node/apni/2888061","Anthosachne multiflora subsp. kingiana","Poaceae",,"Philip Island Wheat Grass","Poaceae","E4A","Critically Endangered",,"Risk of disturbance","3","1km"
"Choricarpia subargentea (C. White) L. Johnson ","http://id.biodiversity.org.au/node/apni/2888873","Backhousia subargentea","Myrtaceae",,"Giant Ironwood","Myrtaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Thelymitra epipactoides F. Muell.","http://id.biodiversity.org.au/node/apni/2909701","Thelymitra epipactoides","Orchidaceae",,,"Orchidaceae","E4","Presumed Extinct",,"Risk of disturbance and collection","2","10km"
"Prostanthera staurophylla sensu stricto F. Muell.","ALA_Prostanthera_staurophylla_sensu_stricto_F_Muell","Prostanthera staurophylla sensu stricto F. Muell.",,,"Torrington Mint-bush","Lamiaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Diuris disposita D.L.Jones ","http://id.biodiversity.org.au/name/apni/117435","Diuris disposita",,,"Willawarrin Doubletail","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Caladenia rosella G.W. Carr ","http://id.biodiversity.org.au/node/apni/2894212","Caladenia rosella","Orchidaceae",,"Rosella Spider Orchid","Orchidaceae","E4","Presumed Extinct",,"Risk of disturbance and collection","2","10km"
"Eucalyptus imlayensis Crisp & Brooker ","http://id.biodiversity.org.au/node/apni/2899202","Eucalyptus imlayensis","Myrtaceae",,"Imlay Mallee","Myrtaceae","E4A","Critically Endangered",,"Risk of disturbance","3","1km"
"Eidothea hardeniana P.H. Weston & R.M. Kooyman ","http://id.biodiversity.org.au/node/apni/2908076","Eidothea hardeniana","Proteaceae",,"Nightcap Oak","Proteaceae","E1","Endangered","Previously Eidothea sp. “Nightcap Range” (P. H. Weston 2469)","Risk of disturbance","2","10km"
"Diuris sp. aff. chrysantha (Byron Bay) (D.L. Jones ORG 2761) ","ALA_Diuris_sp_aff_chrysantha_Byron_Bay_D_L_Jones_ORG_2761","Diuris sp. aff. chrysantha (Byron Bay) (D.L. Jones ORG 2761)",,,,"Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Tyto novaehollandiae","urn:lsid:biodiversity.org.au:afd.taxon:32b5f516-e4bc-4e81-b98a-c44c6dc84159","Tyto (Megastrix) novaehollandiae","Tytonidae",,,"Tytonidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Myriophyllum implicatum Orchard","http://id.biodiversity.org.au/node/apni/2889355","Myriophyllum implicatum","Haloragaceae",,,"Haloragaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Mixophyes iteratus","urn:lsid:biodiversity.org.au:afd.taxon:305173f5-4f94-45f1-be96-aa4105095d9f","Mixophyes iteratus","Myobatrachidae",,,"Myobatrachidae","E1","Endangered",,"Risk of collection and disease","2","10km"
"Thelymitra atronitida Jeanes","http://id.biodiversity.org.au/name/apni/164764","Thelymitra atronitida",,,"Black-hooded Sun Orchid","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Grevillea iaspicula McGill.","http://id.biodiversity.org.au/node/apni/2897239","Grevillea iaspicula","Proteaceae",,"Wee Jasper Grevillea","Proteaceae","E4A","Critically Endangered",,"Risk of illegal collection","2","10km"
"Hakea pulvinifera L. Johnson","http://id.biodiversity.org.au/node/apni/2917559","Hakea pulvinifera","Proteaceae",,"Lake Keepit Hakea","Proteaceae","E1","Endangered",,"Risk of disturbance","2","10km"
"Prasophyllum uroglossum Rupp ","http://id.biodiversity.org.au/node/apni/2915139","Prasophyllum fuscum","Orchidaceae",,"Wingecarribee Leek Orchid","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Pimelea venosa Threlfall ","http://id.biodiversity.org.au/node/apni/2891541","Pimelea venosa","Thymelaeaceae",,"Bolivia Hill Pimelea","Thymelaeaceae","E1","Endangered",,"Risk of disturbance","3","1km"
