Project: Collaborations,,Slug is used in the URLs on the portal
Codes for Project Tracking/ Security,,
,,
Slug,Short Description,Long Description
platypus-bio-collaboration-members,Platypus-bio,
cane-toad-collaboration-members,cane-toad,
